Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,254.16000366210938,258.7200012207031,251.7100067138672,254.16000366210938,2597500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,252.52000427246094,253.3800048828125,237.86000061035156,237.91000366210938,5309300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,236.41000366210938,245.72000122070312,234.72000122070312,238.58999633789062,7042900,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,247.74000549316406,249.91000366210938,242.77999877929688,248.8699951171875,4779900,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,248.33999633789062,248.3699951171875,238.0,238.00999450683594,5106400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,252.5,261.7300109863281,251.77000427246094,260.6700134277344,8679600,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True
2018-10-17,261.2099914550781,261.8900146484375,255.25999450683594,258.9100036621094,4405100,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-18,256.19000244140625,257.2099914550781,246.00999450683594,250.35000610351562,5378900,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,252.72999572753906,252.88999938964844,243.63999938964844,245.02999877929688,4070600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,246.0,251.63999938964844,242.8000030517578,251.05999755859375,3487000,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,246.19000244140625,254.91000366210938,242.55999755859375,251.75999450683594,5006300,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-10-24,250.61000061035156,254.60000610351562,238.22999572753906,238.44000244140625,4859500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-25,242.1699981689453,253.58999633789062,241.66000366210938,252.9199981689453,5283600,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-26,243.85000610351562,252.17999267578125,241.41000366210938,245.8000030517578,4505800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
