Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,86.62000274658203,86.94999694824219,85.58999633789062,86.76000213623047,3950200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,85.45999908447266,86.04000091552734,83.18000030517578,83.9000015258789,8523800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-11,85.55999755859375,86.58999633789062,83.25,83.66999816894531,4849900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-12,85.2300033569336,85.7699966430664,83.06999969482422,84.16999816894531,3600600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-15,83.70999908447266,84.66999816894531,83.0999984741211,83.9000015258789,3153700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,84.79000091552734,85.83999633789062,84.13999938964844,85.76000213623047,3397300.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,86.3499984741211,86.41999816894531,84.5999984741211,85.25,3529100.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,83.0,84.29000091552734,81.55000305175781,83.16999816894531,4923200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-19,82.93000030517578,84.22000122070312,81.87000274658203,82.33999633789062,2564400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-22,83.01000213623047,83.38999938964844,82.36000061035156,82.55000305175781,2337000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-23,80.73999786376953,83.01000213623047,79.69999694824219,82.6500015258789,4656400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-24,80.31999969482422,80.73999786376953,77.76000213623047,77.81999969482422,7790900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-25,78.94000244140625,79.9000015258789,78.76000213623047,79.08000183105469,4192500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-26,77.55999755859375,80.0999984741211,76.62000274658203,79.02999877929688,4536600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-29,81.31999969482422,81.94999694824219,78.9800033569336,80.41000366210938,5055500.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-30,80.62000274658203,82.86000061035156,80.41999816894531,82.80000305175781,4698800.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-31,83.93000030517578,84.30000305175781,82.87999725341797,83.70999908447266,3498700.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-01,84.16000366210938,88.5,83.72000122070312,88.0,3669500.0,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False
2018-11-02,88.31999969482422,89.01000213623047,86.25,87.18000030517578,3754900.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,87.08999633789062,87.41999816894531,85.58999633789062,86.37999725341797,2143600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,86.55999755859375,88.0,86.37000274658203,87.95999908447266,1751300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-07,89.01000213623047,89.0199966430664,87.38999938964844,88.30999755859375,2253800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-08,87.58999633789062,90.08000183105469,87.58999633789062,89.93000030517578,2551100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True
2018-11-09,89.45999908447266,89.7300033569336,87.01000213623047,87.58999633789062,3043200.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-12,86.4000015258789,86.62000274658203,84.0999984741211,84.19999694824219,3334300.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2018-11-13,84.83999633789062,86.80999755859375,84.62999725341797,85.30000305175781,3042500.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-14,86.31999969482422,87.11000061035156,85.47000122070312,86.12999725341797,2395700.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-15,86.02999877929688,89.87000274658203,86.02999877929688,89.81999969482422,4772900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-11-16,88.0999984741211,89.95999908447266,87.63999938964844,89.4800033569336,3167900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-19,89.62000274658203,89.97000122070312,85.44999694824219,85.5199966430664,6808500.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False
2018-11-20,84.76000213623047,89.87000274658203,83.83999633789062,89.0199966430664,6660100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-11-21,89.55000305175781,90.83000183105469,88.20999908447266,89.68000030517578,3561100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-23,88.6500015258789,89.4000015258789,87.87000274658203,88.63999938964844,1163000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-26,90.30999755859375,90.62999725341797,89.0199966430664,90.06999969482422,2474600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-27,89.45999908447266,90.13999938964844,88.36000061035156,89.58000183105469,2614600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-28,89.43000030517578,90.79000091552734,88.0,90.72000122070312,3864600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-29,89.9800033569336,90.58999633789062,89.3499984741211,89.5199966430664,2831700.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-30,89.69999694824219,91.97000122070312,88.79000091552734,91.91999816894531,3335800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-03,93.33999633789062,94.62000274658203,92.80999755859375,93.51000213623047,3563800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True
2018-12-04,93.13999938964844,93.37999725341797,90.33999633789062,90.44000244140625,3858000.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-12-06,87.33000183105469,89.55000305175781,86.16999816894531,89.52999877929688,2957300.0,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
2018-12-07,89.06999969482422,89.9800033569336,86.19000244140625,86.41999816894531,2961000.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-10,86.36000061035156,88.63999938964844,86.0,88.4800033569336,2600600.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-11,89.91000366210938,91.04000091552734,88.27999877929688,88.63999938964844,2094300.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-12,90.5199966430664,90.5199966430664,89.0,89.08000183105469,2301000.0,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False
2018-12-13,89.66999816894531,89.98999786376953,88.08000183105469,88.45999908447266,1668400.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-14,87.4800033569336,88.38999938964844,86.97000122070312,87.2699966430664,2947800.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-17,87.25,88.95999908447266,86.75,87.30999755859375,2933800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-18,88.2300033569336,89.36000061035156,87.5,88.05000305175781,2873900.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-19,86.7300033569336,87.91999816894531,83.23999786376953,83.69000244140625,4216200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-12-20,83.23999786376953,84.55000305175781,81.52999877929688,82.73999786376953,3555400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-21,83.41000366210938,85.11000061035156,81.94000244140625,82.31999969482422,5189000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-12-24,82.11000061035156,82.91000366210938,80.36000061035156,80.41999816894531,1353300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-26,81.19000244140625,84.43000030517578,80.08000183105469,84.33999633789062,2519000.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,83.26000213623047,85.43000030517578,81.86000061035156,85.36000061035156,2070300.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-12-28,85.48999786376953,86.9000015258789,84.43000030517578,85.45999908447266,2070700.0,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
