Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,149.5,152.36000061035156,149.22000122070312,150.13999938964844,1398600.0,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
2018-10-10,150.25999450683594,150.4600067138672,141.57000732421875,141.77999877929688,2834900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,141.7100067138672,143.02000427246094,137.0500030517578,138.17999267578125,3402000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,140.32000732421875,141.3000030517578,138.5500030517578,140.72000122070312,2477100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-15,140.02000427246094,141.5399932861328,139.0399932861328,140.25,1387500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,140.60000610351562,143.92999267578125,140.27999877929688,143.27999877929688,1966000.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,143.42999267578125,144.1300048828125,142.0399932861328,143.66000366210938,1069400.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,143.75999450683594,144.60000610351562,141.05999755859375,142.9199981689453,1863900.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,143.77999877929688,145.14999389648438,142.7100067138672,143.41000366210938,1793200.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,143.85000610351562,144.91000366210938,143.0,143.99000549316406,1147100.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,141.63999938964844,143.44000244140625,140.3000030517578,142.44000244140625,1819000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,142.00999450683594,143.02000427246094,137.27000427246094,137.64999389648438,2291500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-25,139.64999389648438,141.39999389648438,137.4499969482422,140.49000549316406,2192900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,137.24000549316406,138.66000366210938,135.52000427246094,136.35000610351562,2968900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-29,138.8000030517578,139.75999450683594,133.1300048828125,135.3000030517578,3272000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-30,135.8699951171875,137.25999450683594,134.47000122070312,137.25999450683594,2884500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-31,141.3699951171875,145.6199951171875,139.97999572753906,144.0800018310547,3522800.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False
2018-11-01,143.75,144.0,139.9600067138672,140.91000366210938,2559300.0,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-11-02,141.1199951171875,142.5500030517578,139.02000427246094,140.72000122070312,1920900.0,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-11-05,141.32000732421875,141.8000030517578,139.72000122070312,141.41000366210938,1787800.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2018-11-06,141.52000427246094,144.02999877929688,141.50999450683594,143.9199981689453,2094400.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-07,145.55999755859375,148.4499969482422,144.97000122070312,148.3000030517578,2616300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True
2018-11-08,147.6300048828125,148.6699981689453,147.1699981689453,147.88999938964844,2082100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,147.0800018310547,147.66000366210938,146.0,147.19000244140625,2371400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,146.67999267578125,147.10000610351562,143.9499969482422,144.1699981689453,1665200.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-13,144.9600067138672,145.86000061035156,143.0399932861328,144.72000122070312,2087300.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-14,145.8300018310547,146.41000366210938,142.5,142.72000122070312,2248700.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True
2018-11-15,141.36000061035156,147.2899932861328,140.8000030517578,147.25,2564000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-16,147.22000122070312,147.82000732421875,145.42999267578125,146.5500030517578,5416700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-11-19,146.41000366210938,147.00999450683594,141.22000122070312,143.44000244140625,2264900.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-20,142.8300018310547,147.3800048828125,140.1300048828125,140.52000427246094,2995300.0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-11-21,141.47999572753906,142.6300048828125,139.4499969482422,141.0800018310547,1500700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,139.5399932861328,141.91000366210938,139.5399932861328,140.88999938964844,676600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-26,142.8300018310547,144.74000549316406,142.02000427246094,144.64999389648438,1643500.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-27,143.92999267578125,145.3300018310547,142.83999633789062,145.32000732421875,1442300.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-28,145.88999938964844,148.66000366210938,145.49000549316406,148.61000061035156,3159300.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-11-29,147.6999969482422,148.13999938964844,145.7100067138672,145.85000610351562,1750200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-30,146.2100067138672,147.55999755859375,145.8000030517578,147.4199981689453,4150800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-03,149.19000244140625,149.6699981689453,145.3800048828125,147.41000366210938,4110800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-04,147.0399932861328,147.6999969482422,143.17999267578125,143.61000061035156,4018800.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
2018-12-06,141.88999938964844,143.22999572753906,138.2899932861328,143.17999267578125,3299500.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-12-07,142.1999969482422,143.50999450683594,138.6999969482422,139.3300018310547,2830000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-10,139.6300048828125,140.2899932861328,136.69000244140625,139.72999572753906,1660300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-11,141.7100067138672,142.35000610351562,138.7100067138672,139.99000549316406,2190000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-12,142.49000549316406,142.6300048828125,139.4499969482422,139.57000732421875,2566200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-12-13,139.57000732421875,139.57000732421875,136.75,138.1999969482422,1871600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
