Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,205.75,208.0800018310547,204.49000549316406,206.0,2509100.0,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-10-10,205.0,206.35000610351562,200.77000427246094,201.1999969482422,4148000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-11,201.5500030517578,202.9600067138672,192.3800048828125,193.85000610351562,4175000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,195.6199951171875,198.08999633789062,194.14999389648438,197.38999938964844,3231400.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,196.1999969482422,198.41000366210938,195.0,195.58999633789062,2091100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2018-10-16,197.22000122070312,202.67999267578125,196.22000122070312,202.33999633789062,2261500.0,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-17,201.41000366210938,203.30999755859375,198.94000244140625,202.77000427246094,2459700.0,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-18,203.1699981689453,204.50999450683594,200.27999877929688,202.72000122070312,2433600.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-19,202.74000549316406,205.1199951171875,201.4499969482422,201.8000030517578,2692500.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,201.16000366210938,201.8000030517578,197.47000122070312,198.02000427246094,2717500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,196.3000030517578,199.08999633789062,193.72000122070312,197.63999938964844,2553500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,196.94000244140625,197.9600067138672,187.3699951171875,187.8800048828125,4288300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-25,188.66000366210938,190.5,181.30999755859375,188.10000610351562,4983700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-26,185.39999389648438,187.3300018310547,183.27999877929688,185.97999572753906,4580400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-29,189.32000732421875,190.91000366210938,184.8000030517578,188.19000244140625,3829500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,189.42999267578125,191.0,187.02999877929688,189.0800018310547,4040600.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,189.0800018310547,195.3300018310547,189.0399932861328,192.7899932861328,4541000.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-01,192.80999755859375,194.3800048828125,190.9600067138672,192.89999389648438,2827300.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-02,194.2899932861328,195.35000610351562,185.8300018310547,187.05999755859375,3696300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-05,187.67999267578125,190.72000122070312,187.5500030517578,189.9199981689453,2713500.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-06,190.2100067138672,192.6999969482422,189.52000427246094,190.75,2139000.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-07,192.80999755859375,197.72999572753906,192.00999450683594,197.6199951171875,3077800.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-08,197.5399932861328,198.27999877929688,195.27999877929688,196.02000427246094,2636600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-09,195.3699951171875,196.91000366210938,192.17999267578125,193.16000366210938,2344900.0,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
2018-11-12,193.64999389648438,194.72000122070312,190.47999572753906,191.55999755859375,2109100.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-13,192.91000366210938,194.82000732421875,191.02999877929688,191.5500030517578,2232200.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-14,192.02999877929688,193.39999389648438,189.66000366210938,190.36000061035156,2850300.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-11-15,188.33999633789062,192.6300048828125,187.1199951171875,192.4499969482422,2607100.0,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False
2018-11-16,192.36000061035156,195.24000549316406,191.69000244140625,194.17999267578125,3862300.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-11-19,194.9199981689453,196.77000427246094,192.8699951171875,194.91000366210938,2629900.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-20,196.32000732421875,198.67999267578125,192.75999450683594,196.44000244140625,3288800.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-21,195.1699981689453,197.5500030517578,192.61000061035156,192.77000427246094,2173600.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2018-11-23,191.25,194.47999572753906,190.77000427246094,192.57000732421875,1349200.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2018-11-26,194.94000244140625,196.30999755859375,192.49000549316406,194.3000030517578,2194600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-27,193.16000366210938,197.22999572753906,191.8699951171875,197.10000610351562,2329200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-28,196.9600067138672,202.02000427246094,196.05999755859375,201.4199981689453,2617800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-29,199.77999877929688,204.0,199.52999877929688,202.3699951171875,1937800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-30,202.14999389648438,208.99000549316406,201.7899932861328,208.25,4537200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
2018-12-03,208.10000610351562,208.3000030517578,200.3800048828125,202.92999267578125,4035300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-04,204.60000610351562,205.74000549316406,197.2899932861328,197.75999450683594,3881100.0,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False
2018-12-06,195.72000122070312,199.00999450683594,193.1999969482422,199.00999450683594,3437300.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-12-07,197.88999938964844,198.39999389648438,191.0500030517578,191.44000244140625,3152400.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-12-10,193.02999877929688,194.7899932861328,188.19000244140625,194.08999633789062,2718300.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-11,195.91000366210938,198.41000366210938,194.33999633789062,196.17999267578125,3047500.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2018-12-12,198.08999633789062,199.44000244140625,196.3000030517578,196.41000366210938,2665600.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2018-12-13,196.77000427246094,197.66000366210938,195.22000122070312,197.52999877929688,2129800.0,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-12-14,195.0399932861328,196.14999389648438,191.66000366210938,192.07000732421875,2981300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-17,192.24000549316406,194.4499969482422,188.63999938964844,190.0800018310547,2919400.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-18,191.44000244140625,191.94000244140625,184.41000366210938,187.10000610351562,3164300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-19,187.02000427246094,191.75999450683594,182.52999877929688,185.49000549316406,3995400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-12-20,185.05999755859375,186.5399932861328,182.72000122070312,184.9600067138672,3806200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-21,183.85000610351562,187.61000061035156,179.2100067138672,180.2100067138672,7829800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-12-24,179.5,182.92999267578125,178.2899932861328,178.39999389648438,2205100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-26,179.0399932861328,188.02999877929688,178.8800048828125,187.86000061035156,2868200.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,185.36000061035156,190.41000366210938,183.6199951171875,190.3300018310547,3137900.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True
2018-12-28,191.6300048828125,194.58999633789062,190.05999755859375,190.72999572753906,2477500.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-12-31,191.92999267578125,195.8000030517578,191.61000061035156,194.6699981689453,2764800.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-02,192.52000427246094,193.1999969482422,188.9499969482422,191.89999389648438,3009100.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2019-01-03,192.14999389648438,194.17999267578125,188.6699981689453,188.97999572753906,3973900.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2019-01-04,191.4600067138672,196.52000427246094,190.83999633789062,195.44000244140625,4193400.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2019-01-07,194.75999450683594,199.36000061035156,194.0,198.07000732421875,3032500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-08,199.1999969482422,201.1199951171875,196.67999267578125,200.61000061035156,3290300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-09,202.36000061035156,202.89999389648438,199.6300048828125,200.3699951171875,2869700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-10,200.3699951171875,203.52000427246094,199.47000122070312,202.67999267578125,3131300.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-11,200.63999938964844,200.99000549316406,198.0,200.55999755859375,3379700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-14,199.49000549316406,200.0,196.66000366210938,196.77999877929688,3378600.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2019-01-15,196.3000030517578,199.99000549316406,196.0399932861328,199.3800048828125,2859800.0,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-16,199.3000030517578,200.44000244140625,197.60000610351562,198.88999938964844,3302400.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-17,198.3800048828125,202.52999877929688,197.97999572753906,201.9199981689453,2440200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-18,203.3300018310547,204.3300018310547,201.0399932861328,203.8800048828125,3095000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-22,202.6199951171875,203.47999572753906,200.77999877929688,201.97999572753906,3173100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2019-01-23,201.99000549316406,203.9499969482422,200.1300048828125,201.55999755859375,1917500.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-24,201.61000061035156,202.39999389648438,199.74000549316406,200.97000122070312,2390800.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-25,201.9499969482422,202.22999572753906,196.8800048828125,198.77000427246094,4383600.0,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True
2019-01-28,194.97000122070312,194.97000122070312,190.00999450683594,191.9499969482422,4186200.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2019-01-29,192.17999267578125,193.6699981689453,190.8000030517578,192.11000061035156,3182100.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
