Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,240.58999633789062,245.72999572753906,240.3699951171875,244.6999969482422,2467500.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2018-10-10,242.92999267578125,245.07000732421875,231.63999938964844,231.8300018310547,5632700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,231.97000122070312,235.60000610351562,227.19000244140625,228.89999389648438,3742400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-12,234.75999450683594,235.6699981689453,229.11000061035156,232.9499969482422,3258900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,231.02999877929688,235.3300018310547,230.0399932861328,232.47000122070312,3009900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,236.0,238.75999450683594,234.17999267578125,238.32000732421875,3035500.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,239.74000549316406,239.74000549316406,233.9199981689453,237.1699981689453,2026200.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,235.42999267578125,236.82000732421875,226.52999877929688,228.02000427246094,3744200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,230.0,231.08999633789062,226.92999267578125,228.27999877929688,3223100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,230.55999755859375,232.42999267578125,228.0399932861328,228.6199951171875,2561900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,222.80999755859375,229.5399932861328,218.82000732421875,229.0500030517578,3599000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,226.39999389648438,226.41000366210938,217.83999633789062,218.7100067138672,3781000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2018-10-25,219.8800048828125,223.38999938964844,219.14999389648438,222.24000549316406,3519300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,215.57000732421875,217.33999633789062,209.1999969482422,213.14999389648438,5332400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-29,216.19000244140625,218.69000244140625,208.22999572753906,211.5,2863600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
