Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,224.14999389648438,225.14999389648438,222.55999755859375,224.1699981689453,2502800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,224.10000610351562,225.0,221.0399932861328,221.0500030517578,3021400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-11,222.91000366210938,225.32000732421875,220.92999267578125,221.82000732421875,3650900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-12,225.1999969482422,227.6199951171875,223.38999938964844,226.9499969482422,3130500.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,226.25,226.94000244140625,224.25,224.50999450683594,2441900.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,224.8699951171875,228.25999450683594,224.32000732421875,227.67999267578125,2541800.0,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-17,228.4499969482422,228.8800048828125,225.50999450683594,228.49000549316406,2129300.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False
2018-10-18,228.5399932861328,230.64999389648438,226.25,228.5800018310547,2624600.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False
2018-10-19,228.89999389648438,230.6300048828125,228.72000122070312,229.6699981689453,2099800.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-22,229.8800048828125,230.25,227.27000427246094,229.05999755859375,2007300.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-23,227.07000732421875,229.25999450683594,223.82000732421875,228.75,2656700.0,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-24,225.92999267578125,231.08999633789062,223.08999633789062,223.75999450683594,3100200.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-10-25,224.05999755859375,227.58999633789062,222.83999633789062,226.39999389648438,2218900.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-26,222.30999755859375,225.0,217.0,218.19000244140625,3995400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-29,219.75,224.88999938964844,218.75,222.4199981689453,3801400.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-30,223.10000610351562,228.2100067138672,223.00999450683594,227.9199981689453,2410500.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-10-31,228.64999389648438,230.55999755859375,225.55999755859375,228.6300048828125,2674600.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-01,228.17999267578125,230.8000030517578,227.5399932861328,229.60000610351562,2095000.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,229.80999755859375,232.22999572753906,227.17999267578125,230.16000366210938,2167200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-05,230.7100067138672,234.88999938964844,229.8000030517578,234.4499969482422,2513900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False
2018-11-06,235.0,237.49000549316406,234.17999267578125,236.7100067138672,2101300.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-07,238.75,240.8800048828125,236.94000244140625,240.3699951171875,2603600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-08,238.50999450683594,239.8000030517578,237.02999877929688,238.6999969482422,2140600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,237.97000122070312,240.25999450683594,237.07000732421875,237.74000549316406,2256700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,237.63999938964844,239.1999969482422,234.1300048828125,234.47999572753906,2301400.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-13,234.75,236.4199981689453,232.77000427246094,234.13999938964844,1548100.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-14,237.1199951171875,237.1199951171875,231.7100067138672,233.30999755859375,1896500.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-15,232.32000732421875,232.64999389648438,227.0,229.94000244140625,2722300.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2018-11-16,229.3000030517578,231.1199951171875,226.52000427246094,231.02000427246094,2822400.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
2018-11-19,231.61000061035156,233.5,227.80999755859375,228.74000549316406,1949500.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-20,224.9199981689453,225.0,218.0500030517578,219.30999755859375,3704800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-11-21,220.55999755859375,222.02999877929688,217.4499969482422,218.57000732421875,2036500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-23,218.10000610351562,221.17999267578125,217.66000366210938,220.05999755859375,1007500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-26,222.85000610351562,223.47999572753906,218.89999389648438,219.4499969482422,2205600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
