Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,74.0,74.30000305175781,73.58000183105469,73.97000122070312,2248000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,73.62000274658203,73.6500015258789,71.38999938964844,71.44000244140625,4091300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,71.69999694824219,72.12999725341797,69.98999786376953,70.29000091552734,4659700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,71.36000061035156,72.5,70.81999969482422,72.16999816894531,4791000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-15,71.54000091552734,72.58999633789062,70.94999694824219,72.01000213623047,3262300.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,72.75,73.70999908447266,72.51000213623047,73.5,3639200.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,73.36000061035156,74.37999725341797,72.73999786376953,73.98999786376953,2594100.0,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-18,73.87999725341797,74.37999725341797,73.27999877929688,73.58999633789062,3690200.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,73.73999786376953,74.52999877929688,73.4800033569336,73.69000244140625,3106900.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,73.9800033569336,74.2300033569336,73.0999984741211,73.58999633789062,2126000.0,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-10-23,72.6500015258789,73.62000274658203,71.77999877929688,73.41000366210938,4217700.0,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-24,73.12999725341797,73.62000274658203,70.0999984741211,70.1500015258789,3631900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-25,70.62000274658203,71.86000061035156,70.19999694824219,71.4800033569336,3582300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,70.0,71.45999908447266,69.31999969482422,70.52999877929688,3808300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-29,71.25,71.30999755859375,68.36000061035156,69.22000122070312,6742600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-30,66.6500015258789,67.93000030517578,65.13999938964844,66.5199966430664,9640300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-31,66.62000274658203,69.66000366210938,66.31999969482422,69.02999877929688,5550900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-01,68.98999786376953,69.19000244140625,68.08000183105469,68.77999877929688,5520700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-02,69.12000274658203,69.62999725341797,68.51000213623047,69.5,3746600.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-05,69.93000030517578,70.0,69.05999755859375,69.45999908447266,3090500.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-06,69.63999938964844,69.77999877929688,69.1500015258789,69.6500015258789,2481200.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-07,70.31999969482422,71.43000030517578,70.18000030517578,71.37000274658203,2449500.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-08,71.27999877929688,71.81999969482422,70.93000030517578,71.23999786376953,2103500.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-09,70.91000366210938,71.13999938964844,69.8499984741211,70.33999633789062,3062200.0,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-11-12,70.05000305175781,70.2699966430664,69.3499984741211,69.55000305175781,3490700.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-11-13,69.83999633789062,70.45999908447266,69.44000244140625,69.61000061035156,3698100.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-11-14,70.0,70.0,67.47000122070312,67.56999969482422,5022100.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2018-11-15,67.16999816894531,68.73999786376953,67.01000213623047,68.66999816894531,4260400.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-16,68.48999786376953,71.12999725341797,68.2699966430664,70.33000183105469,7992900.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-11-19,70.43000030517578,71.16000366210938,68.75,69.20999908447266,4115000.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-20,67.73999786376953,68.77999877929688,67.44999694824219,67.61000061035156,3786300.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-21,68.30999755859375,69.58999633789062,67.70999908447266,68.66999816894531,4757300.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-23,68.05999755859375,68.95999908447266,67.83000183105469,67.9800033569336,1290200.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-26,68.66000366210938,69.06999969482422,68.37000274658203,68.75,2666700.0,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-27,68.51000213623047,70.0,68.36000061035156,69.9000015258789,5236200.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-11-28,69.97000122070312,70.87999725341797,69.51000213623047,70.76000213623047,3515100.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-29,70.48999786376953,70.94999694824219,70.11000061035156,70.30000305175781,2555700.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-30,70.62000274658203,71.29000091552734,70.05999755859375,71.2300033569336,4139100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-03,71.69000244140625,72.2300033569336,71.11000061035156,71.93000030517578,3567000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-04,71.9000015258789,71.98999786376953,69.73999786376953,70.0199966430664,3261300.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-12-06,69.0999984741211,69.4800033569336,68.11000061035156,69.4000015258789,4303100.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-12-07,69.38999938964844,69.76000213623047,67.58999633789062,68.0,3318600.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-12-10,68.01000213623047,68.66000366210938,66.41999816894531,67.08999633789062,5324200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-12-11,68.20999908447266,68.44000244140625,66.5999984741211,67.26000213623047,3949800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-12,68.44000244140625,69.2300033569336,67.98999786376953,68.02999877929688,3135500.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-13,68.13999938964844,69.29000091552734,67.81999969482422,69.08000183105469,4129900.0,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-12-14,68.2300033569336,68.87000274658203,67.58000183105469,67.7699966430664,2945300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-17,67.43000030517578,67.76000213623047,64.05000305175781,64.66999816894531,5026200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-18,65.13999938964844,65.48999786376953,64.16000366210938,64.62000274658203,4206100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-19,64.91000366210938,66.04000091552734,63.630001068115234,64.2300033569336,3457700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-20,63.90999984741211,64.47000122070312,62.04999923706055,62.779998779296875,4413000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-21,62.849998474121094,63.650001525878906,59.79999923706055,60.09000015258789,10209700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-12-24,60.06999969482422,60.959999084472656,59.65999984741211,60.02000045776367,3542700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-26,60.599998474121094,62.36000061035156,59.470001220703125,62.36000061035156,3516800.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,61.68000030517578,63.11000061035156,60.88999938964844,63.08000183105469,3386000.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-28,63.40999984741211,63.900001525878906,62.41999816894531,62.93000030517578,2335400.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-31,63.2400016784668,63.65999984741211,63.02000045776367,63.47999954223633,2338200.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2019-01-02,62.5,63.810001373291016,62.5,63.09000015258789,3045600.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
2019-01-03,62.36000061035156,62.970001220703125,61.0099983215332,61.099998474121094,3895700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019-01-04,62.279998779296875,63.79999923706055,61.95000076293945,63.70000076293945,4885600.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True
2019-01-07,63.349998474121094,63.970001220703125,62.79999923706055,63.599998474121094,3940400.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2019-01-08,64.2699966430664,64.43000030517578,63.439998626708984,64.31999969482422,3427500.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2019-01-09,64.62000274658203,64.80000305175781,63.97999954223633,64.26000213623047,2783000.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2019-01-10,63.63999938964844,64.8499984741211,63.5,64.80999755859375,3314000.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-11,64.77999877929688,65.19000244140625,64.58000183105469,64.91999816894531,3320600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-14,64.45999908447266,65.0199966430664,64.33999633789062,64.62999725341797,4407500.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2019-01-15,64.83999633789062,66.25,64.6500015258789,65.98999786376953,3550900.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-16,65.9000015258789,66.08000183105469,65.44999694824219,65.79000091552734,3496900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-17,65.48999786376953,66.73999786376953,65.19999694824219,66.55000305175781,2367800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-18,67.55000305175781,68.02999877929688,66.97000122070312,67.81999969482422,3904900.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2019-01-22,67.30000305175781,67.69000244140625,66.2699966430664,66.80000305175781,3698000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-23,66.95999908447266,67.44999694824219,66.20999908447266,67.05999755859375,3350200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-24,67.12000274658203,68.1500015258789,66.91999816894531,68.12000274658203,3336000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-25,70.25,70.31999969482422,69.25,70.0199966430664,4073900.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2019-01-28,69.2699966430664,69.37999725341797,68.33999633789062,68.94999694824219,2771000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-29,69.0,69.2300033569336,68.37999725341797,68.66000366210938,2902300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-30,68.7300033569336,70.0999984741211,68.54000091552734,69.80000305175781,3646100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2019-01-31,69.86000061035156,70.30999755859375,69.41000366210938,69.68000030517578,3504100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-01,69.94999694824219,70.94000244140625,69.77999877929688,70.13999938964844,3218600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-04,70.06999969482422,71.51000213623047,69.94000244140625,71.29000091552734,3382100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-05,71.3499984741211,71.87000274658203,71.11000061035156,71.20999908447266,3978100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True
2019-02-06,70.0199966430664,74.69000244140625,70.0,74.5,7242000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2019-02-07,74.18000030517578,74.44999694824219,71.41999816894531,72.98999786376953,5880600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False
2019-02-08,72.45999908447266,73.54000091552734,72.18000030517578,73.16000366210938,4613200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-11,73.3499984741211,73.87000274658203,72.87999725341797,72.97000122070312,3986100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-12,73.41999816894531,73.62000274658203,72.87999725341797,73.44999694824219,3404000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-13,74.16000366210938,74.3499984741211,73.18000030517578,73.58000183105469,2998300.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-14,73.05999755859375,73.63999938964844,72.91999816894531,73.12000274658203,1496200.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-15,73.70999908447266,74.05000305175781,73.08000183105469,73.55999755859375,2875200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-19,73.20999908447266,73.56999969482422,72.63999938964844,73.18000030517578,3955700.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True
2019-02-20,73.2699966430664,73.41000366210938,71.86000061035156,72.25,3171400.0,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
2019-02-21,72.0999984741211,72.41999816894531,71.12000274658203,71.33999633789062,4739000.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2019-02-22,71.69000244140625,72.41999816894531,71.48999786376953,72.37999725341797,5585400.0,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True
2019-02-25,72.93000030517578,73.0,72.13999938964844,72.25,4105300.0,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False
2019-02-26,72.43000030517578,72.54000091552734,71.76000213623047,72.04000091552734,3629200.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2019-02-27,71.72000122070312,71.72000122070312,70.95999908447266,71.30999755859375,5050400.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2019-02-28,71.25,71.76000213623047,70.87999725341797,70.9800033569336,3699300.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2019-03-01,70.91000366210938,72.22000122070312,70.80000305175781,72.12999725341797,2947800.0,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False
2019-03-04,72.55999755859375,72.87999725341797,71.01000213623047,71.76000213623047,3278400.0,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2019-03-05,71.69000244140625,71.98999786376953,71.33999633789062,71.38999938964844,2112900.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
