Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,68.4000015258789,69.29412078857422,67.937255859375,68.86274719238281,1357200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-10,68.93333435058594,69.03529357910156,67.68627166748047,67.73332977294922,2289000.0,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
2018-10-11,67.95294189453125,67.95294189453125,65.27843475341797,65.52156829833984,2244100.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-10-12,66.04705810546875,66.4627456665039,64.92549133300781,65.8431396484375,2035100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,65.95294189453125,67.17646789550781,65.5999984741211,66.47058868408203,1767900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,66.57254791259766,67.29412078857422,66.3686294555664,66.72156524658203,3028100.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-17,66.62744903564453,68.39215850830078,66.35294342041016,67.81961059570312,1734700.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-10-18,67.65489959716797,67.88235473632812,64.78431701660156,65.32549285888672,3112600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,65.34117889404297,65.95294189453125,64.59607696533203,64.7137222290039,1704900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,64.70587921142578,65.20783996582031,64.04705810546875,64.34510040283203,1259300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,64.05490112304688,64.43921661376953,62.94902038574219,64.10195922851562,1638300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,64.25098419189453,64.76863098144531,62.68235397338867,62.76862716674805,1400200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-25,62.298038482666016,64.32157135009766,62.219608306884766,63.80392074584961,2028200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,62.92549133300781,63.639217376708984,62.0313720703125,62.6901969909668,2273100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-29,63.40392303466797,66.41568756103516,62.77647018432617,63.69411849975586,1617400.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,63.898040771484375,65.4745101928711,63.57646942138672,65.36470794677734,2259100.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-31,65.52941131591797,65.60784149169922,64.41568756103516,65.09803771972656,2123500.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-11-01,65.12940979003906,66.45490264892578,64.5882339477539,66.4000015258789,1367500.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,66.5882339477539,67.42745208740234,65.06666564941406,65.49803924560547,2204000.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False
2018-11-05,65.58431243896484,66.69803619384766,65.42745208740234,66.45490264892578,1961800.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,63.52941131591797,67.32549285888672,62.509803771972656,65.49803924560547,3683900.0,False,True,True,True,False,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-11-07,66.07843017578125,68.53333282470703,66.07843017578125,68.4941177368164,2252200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False
2018-11-08,68.4941177368164,69.89804077148438,66.79216003417969,68.21176147460938,1703900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,67.85098266601562,68.17254638671875,66.00784301757812,67.00392150878906,1698300.0,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,66.83137512207031,67.45882415771484,66.44705963134766,66.54901885986328,791500.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-13,66.6196060180664,67.37255096435547,66.41568756103516,66.60391998291016,1159300.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-14,67.46666717529297,68.18038940429688,66.21176147460938,67.01176452636719,1404200.0,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-15,66.72156524658203,67.52941131591797,65.41960906982422,67.48235321044922,1197200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-16,67.09019470214844,68.03921508789062,66.98823547363281,67.5058822631836,1580100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
