Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,223.69000244140625,227.1199951171875,222.0,223.89999389648438,567900,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,223.60000610351562,224.91000366210938,216.63999938964844,217.2100067138672,591400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-11,216.41000366210938,219.99000549316406,212.5500030517578,214.11000061035156,531300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-12,219.60000610351562,223.3300018310547,216.41000366210938,222.4199981689453,850100,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-15,221.89999389648438,222.0399932861328,216.86000061035156,216.89999389648438,390300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,219.3000030517578,226.25,219.3000030517578,225.7899932861328,335900,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,225.0399932861328,229.10000610351562,223.6199951171875,228.49000549316406,486900,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-18,228.3000030517578,228.7100067138672,223.0399932861328,224.3300018310547,518700,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-19,226.39999389648438,227.97000122070312,217.35000610351562,218.39999389648438,486900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,218.3000030517578,220.99000549316406,214.39999389648438,219.77999877929688,428200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,216.63999938964844,219.5399932861328,211.00999450683594,218.1199951171875,498900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,218.0,220.6300048828125,206.39999389648438,206.9499969482422,655100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-25,208.25,213.6699981689453,205.57000732421875,210.77999877929688,580100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,204.55999755859375,207.99000549316406,200.85000610351562,203.4499969482422,1205600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-29,206.75,209.10000610351562,199.86000061035156,203.91000366210938,688400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,204.2100067138672,210.4600067138672,203.75,210.22000122070312,683500,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,213.49000549316406,216.11000061035156,210.88999938964844,212.1199951171875,831300,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-01,196.8800048828125,207.8000030517578,190.0,205.05999755859375,1582400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-11-02,206.0,209.8699951171875,195.00999450683594,204.91000366210938,1044500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-05,205.44000244140625,205.52999877929688,198.39999389648438,201.4499969482422,626300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-06,201.8300018310547,204.08999633789062,200.1300048828125,202.27000427246094,572300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-07,203.97999572753906,210.14999389648438,203.1199951171875,209.7899932861328,551300,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-11-08,209.64999389648438,212.17999267578125,208.35000610351562,209.6699981689453,508000,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-11-09,208.72000122070312,209.39999389648438,203.4199981689453,207.1699981689453,464300,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-12,206.24000549316406,207.22999572753906,198.0,198.82000732421875,463500,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
