Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,64.18000030517578,65.97000122070312,63.720001220703125,65.5,887600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,65.5,66.2699966430664,63.779998779296875,63.849998474121094,1477800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-11,64.08000183105469,64.97000122070312,61.06999969482422,61.75,2194900,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,62.689998626708984,63.0,60.900001525878906,62.560001373291016,1689900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,62.16999816894531,63.0,61.5099983215332,62.029998779296875,1151800,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,62.470001220703125,65.12000274658203,62.27000045776367,64.91000366210938,1483200,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-17,64.91000366210938,65.5,64.0999984741211,65.04000091552734,2128300,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True
2018-10-18,65.3499984741211,65.48999786376953,63.4900016784668,64.44000244140625,1163200,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,64.48999786376953,67.0199966430664,63.75,66.05999755859375,1635800,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-22,67.06999969482422,67.55000305175781,64.75,65.18000030517578,1055800,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-10-23,64.33999633789062,65.87000274658203,62.709999084472656,65.04000091552734,1176000,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-10-24,64.88999938964844,64.97000122070312,60.709999084472656,60.91999816894531,2541000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-25,61.470001220703125,64.55999755859375,60.68000030517578,64.29000091552734,1884100,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,62.13999938964844,65.55000305175781,61.45000076293945,63.95000076293945,1625500,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-29,65.08000183105469,66.69999694824219,61.810001373291016,63.31999969482422,1609900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,61.40999984741211,63.0,58.33000183105469,61.029998779296875,5709800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-31,61.65999984741211,65.7699966430664,61.2599983215332,64.81999969482422,2474400,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-01,65.05000305175781,69.2699966430664,62.33000183105469,68.43000030517578,1776700,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,False
2018-11-02,68.94999694824219,69.80999755859375,65.88999938964844,67.41000366210938,1577700,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-05,67.7300033569336,69.19000244140625,66.37999725341797,68.97000122070312,1184200,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False
2018-11-06,69.0999984741211,69.8499984741211,68.05000305175781,68.52999877929688,1154400,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-07,69.2699966430664,70.0,68.05000305175781,69.02999877929688,1606400,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-08,68.98999786376953,69.72000122070312,67.95999908447266,68.66999816894531,1138400,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,68.38999938964844,68.5,64.93000030517578,66.02999877929688,1326000,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-12,66.0999984741211,66.19000244140625,62.5099983215332,62.86000061035156,2228600,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2018-11-13,62.970001220703125,65.30000305175781,62.79999923706055,63.72999954223633,1524900,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-14,64.16999816894531,64.77999877929688,62.849998474121094,64.1500015258789,2388700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-15,62.81999969482422,65.06999969482422,61.52000045776367,65.02999877929688,1305800,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-16,64.86000061035156,66.91000366210938,64.33000183105469,66.51000213623047,1172300,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-19,66.31999969482422,66.8499984741211,63.529998779296875,64.25,1684600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-20,63.5099983215332,64.77999877929688,62.63999938964844,63.59000015258789,1264600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-21,63.939998626708984,64.66000366210938,63.099998474121094,64.06999969482422,976500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,63.619998931884766,66.30000305175781,63.29999923706055,64.66999816894531,688300,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-26,65.5,67.52999877929688,65.01000213623047,67.37999725341797,1170600,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-27,66.80000305175781,68.13999938964844,65.73999786376953,67.19000244140625,1284400,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-28,67.11000061035156,67.27999877929688,65.18000030517578,65.76000213623047,1906600,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,True,True
2018-11-29,65.22000122070312,66.25,64.70999908447266,64.79000091552734,1469100,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-11-30,64.83999633789062,65.5,63.54999923706055,64.25,2849200,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-12-03,65.25,68.93000030517578,65.25,68.31999969482422,2691300,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-04,68.06999969482422,68.72000122070312,65.37999725341797,65.5199966430664,1963200,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-12-06,64.72000122070312,65.45999908447266,63.220001220703125,65.0999984741211,1565500,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-12-07,64.69999694824219,66.87999725341797,63.93000030517578,64.51000213623047,1258200,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-10,64.7300033569336,65.80000305175781,63.540000915527344,65.41999816894531,1192600,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False
2018-12-11,66.30000305175781,66.4800033569336,64.86000061035156,65.5999984741211,901800,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-12-12,66.6500015258789,68.5999984741211,66.6500015258789,67.66999816894531,1093200,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-13,67.95999908447266,68.87000274658203,67.05000305175781,67.29000091552734,1182100,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-12-14,66.61000061035156,67.63999938964844,65.66000366210938,66.25,1184900,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-17,65.75,66.9000015258789,64.20999908447266,64.81999969482422,1394500,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-12-18,66.69000244140625,66.86000061035156,63.5,64.26000213623047,1707700,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-12-19,64.04000091552734,65.4800033569336,61.88999938964844,62.75,1753800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-12-20,62.43000030517578,63.380001068115234,60.630001068115234,61.72999954223633,1733400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-21,62.02000045776367,63.33000183105469,58.349998474121094,58.66999816894531,3337600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
