Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,527.6799926757812,537.989990234375,523.7100219726562,531.2100219726562,1009300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,534.989990234375,537.5,511.2799987792969,512.2100219726562,1223700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,509.5,520.260009765625,500.0,508.2200012207031,1307700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,522.010009765625,537.4400024414062,521.2000122070312,532.02001953125,1033100,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,529.0700073242188,529.0700073242188,517.4400024414062,519.2899780273438,739300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,525.510009765625,544.3800048828125,525.510009765625,542.9099731445312,728000,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-17,544.030029296875,548.1099853515625,538.4000244140625,542.9099731445312,796100,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-18,544.72998046875,545.8699951171875,520.010009765625,522.2899780273438,1502700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-19,538.8599853515625,539.97998046875,502.3800048828125,504.260009765625,2144600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-22,504.6499938964844,513.5800170898438,502.2099914550781,511.4100036621094,872700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,498.9200134277344,509.04998779296875,485.45001220703125,506.92999267578125,1377400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,505.75,509.7099914550781,482.1600036621094,483.1099853515625,963200,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-25,489.2900085449219,498.29998779296875,482.760009765625,492.9200134277344,1144000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,482.0,494.04998779296875,475.44000244140625,486.8900146484375,1135700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-29,495.3800048828125,498.0,467.07000732421875,477.8599853515625,904600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,477.0400085449219,491.7099914550781,472.4700012207031,490.82000732421875,1131500,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,513.8599853515625,526.3300170898438,508.0,521.1799926757812,1615200,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True
2018-11-01,522.8300170898438,523.5,504.6600036621094,518.6099853515625,1032500,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,520.0,529.0,510.5899963378906,516.219970703125,658700,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,516.8200073242188,519.989990234375,502.8800048828125,507.3999938964844,792500,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-06,506.6499938964844,520.489990234375,506.010009765625,519.6900024414062,765800,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-07,523.3699951171875,546.0599975585938,523.2999877929688,545.6799926757812,1295300,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-08,542.3499755859375,544.989990234375,536.3099975585938,540.02001953125,535800,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,534.6699829101562,535.6400146484375,525.0,532.5599975585938,636600,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,531.2999877929688,532.97998046875,503.510009765625,504.0,835300,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2018-11-13,506.5,517.0,500.0400085449219,503.44000244140625,594600,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-14,508.0,510.0199890136719,493.2799987792969,498.6400146484375,607500,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-15,497.1000061035156,514.4000244140625,485.4800109863281,513.6400146484375,772500,True,False,True,False,True,True,True,False,False,False,True,False,False,False,False,True,False,True
2018-11-16,508.0400085449219,524.0499877929688,507.1099853515625,518.5399780273438,797000,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-11-19,517.47998046875,519.4600219726562,480.0199890136719,482.6700134277344,1114600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-11-20,470.0,492.8699951171875,462.010009765625,485.239990234375,1044700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-21,492.25,498.8599853515625,485.510009765625,491.6199951171875,598900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,488.2099914550781,493.3999938964844,487.6400146484375,489.57000732421875,246600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-26,495.94000244140625,503.8500061035156,489.0,503.2799987792969,640500,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-11-27,498.260009765625,500.0799865722656,493.04998779296875,496.8599853515625,581000,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-28,499.3999938964844,522.27001953125,499.0400085449219,521.9000244140625,957000,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False
