Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,27.229999542236328,27.31999969482422,26.200000762939453,26.3700008392334,2038200,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,26.209999084472656,26.40999984741211,25.1200008392334,25.170000076293945,2336100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-11,25.350000381469727,25.489999771118164,24.799999237060547,24.8799991607666,3289000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,25.229999542236328,25.360000610351562,24.469999313354492,25.280000686645508,4055000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-15,25.209999084472656,26.190000534057617,25.190000534057617,25.950000762939453,1429400,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,26.06999969482422,27.65999984741211,25.93000030517578,26.34000015258789,1393600,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,26.31999969482422,26.489999771118164,25.950000762939453,26.309999465942383,1778800,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,26.270000457763672,26.610000610351562,25.75,25.799999237060547,1696000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,26.040000915527344,26.309999465942383,25.780000686645508,26.010000228881836,1128000,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,26.1299991607666,26.219999313354492,25.739999771118164,25.950000762939453,1489600,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,25.6200008392334,25.809999465942383,25.040000915527344,25.34000015258789,2528400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-24,25.229999542236328,25.440000534057617,23.59000015258789,23.770000457763672,3375800,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-25,24.09000015258789,24.719999313354492,23.889999389648438,23.989999771118164,2187600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-26,23.299999237060547,24.389999389648438,23.170000076293945,24.010000228881836,3575700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-29,24.3799991607666,25.329999923706055,24.15999984741211,24.510000228881836,2711700,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,24.6200008392334,24.940000534057617,24.329999923706055,24.489999771118164,2154300,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,24.68000030517578,26.06999969482422,24.6200008392334,25.6299991607666,2083400,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-01,25.780000686645508,26.06999969482422,25.5,25.979999542236328,1921400,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,26.18000030517578,26.270000457763672,25.309999465942383,25.59000015258789,1088400,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,25.709999084472656,25.959999084472656,25.530000686645508,25.610000610351562,795800,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,25.5,25.899999618530273,25.260000228881836,25.56999969482422,1060800,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2018-11-07,25.940000534057617,26.610000610351562,25.450000762939453,26.600000381469727,2499400,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-11-08,26.459999084472656,27.1200008392334,24.6299991607666,25.520000457763672,2161100,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2018-11-09,25.329999923706055,25.639999389648438,24.850000381469727,25.1200008392334,2084300,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-12,25.0,25.020000457763672,23.940000534057617,23.989999771118164,1856400,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-13,24.170000076293945,24.5,23.600000381469727,23.690000534057617,2409600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-14,24.010000228881836,24.6299991607666,23.8799991607666,24.270000457763672,1585800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-15,24.149999618530273,24.75,23.770000457763672,24.719999313354492,1678200,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-16,24.780000686645508,24.8799991607666,24.1200008392334,24.309999465942383,1856800,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-19,24.309999465942383,24.920000076293945,23.579999923706055,23.670000076293945,1379300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-20,23.459999084472656,23.600000381469727,22.209999084472656,22.6200008392334,2981900,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-11-21,22.760000228881836,24.110000610351562,22.700000762939453,23.8799991607666,914600,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,23.559999465942383,24.549999237060547,23.5,24.489999771118164,493300,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
