Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,145.6199951171875,146.0,141.35000610351562,144.47000122070312,3902100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-10,142.39999389648438,143.6699981689453,138.75999450683594,139.77999877929688,4553900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-11,140.77999877929688,142.8800048828125,135.99000549316406,137.6199951171875,3971600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-12,142.97999572753906,146.63999938964844,140.77000427246094,143.61000061035156,3765400.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,142.0,144.19000244140625,140.36000061035156,142.50999450683594,2699800.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,144.22000122070312,146.4499969482422,143.27000427246094,145.27000427246094,4536300.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False
2018-10-17,152.5,153.9600067138672,146.1999969482422,147.17999267578125,8786100.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True
2018-10-18,145.67999267578125,146.5399932861328,143.41000366210938,145.08999633789062,4326300.0,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-10-19,145.6199951171875,148.5500030517578,144.4199981689453,145.1999969482422,4117500.0,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-10-22,146.72999572753906,147.58999633789062,143.63999938964844,144.27000427246094,2741200.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-23,139.60000610351562,147.66000366210938,139.5800018310547,146.38999938964844,3865400.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False
2018-10-24,144.25,145.22999572753906,139.14999389648438,139.30999755859375,3910200.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-25,141.0,144.0500030517578,139.38999938964844,142.55999755859375,3134600.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,138.4600067138672,142.25999450683594,136.55999755859375,139.10000610351562,3769900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-29,140.77999877929688,142.52000427246094,133.4199981689453,135.77999877929688,3766700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,135.8300018310547,141.0800018310547,134.86000061035156,139.27000427246094,4018100.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,141.66000366210938,143.07000732421875,140.22000122070312,141.72999572753906,2805500.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-01,142.63999938964844,152.0399932861328,142.5,151.86000061035156,5792100.0,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False,True,True,False
2018-11-02,152.92999267578125,154.10000610351562,150.07000732421875,151.50999450683594,2911600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-05,151.32000732421875,151.5,145.47000122070312,147.61000061035156,2217800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-06,146.77999877929688,152.38999938964844,146.5,152.07000732421875,3236800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-07,153.99000549316406,154.0,151.1699981689453,151.69000244140625,2577500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-08,149.8699951171875,153.30999755859375,149.24000549316406,151.67999267578125,1245900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,149.57000732421875,150.86000061035156,146.88999938964844,147.85000610351562,1872200.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,145.5500030517578,146.00999450683594,142.07000732421875,142.91000366210938,2439100.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2018-11-13,145.07000732421875,147.1300048828125,143.11000061035156,143.9499969482422,2885600.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2018-11-14,145.6199951171875,147.66000366210938,141.5800018310547,142.74000549316406,2439900.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-15,142.1699981689453,147.77999877929688,141.60000610351562,146.39999389648438,3211000.0,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-16,142.52000427246094,150.66000366210938,141.6199951171875,148.0,3791100.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-11-19,146.88999938964844,148.5800018310547,143.5500030517578,143.74000549316406,2539900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-20,140.24000549316406,149.11000061035156,139.8699951171875,143.4499969482422,5228200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-21,145.9199981689453,147.5800018310547,144.33999633789062,144.52000427246094,2289500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,142.88999938964844,147.2100067138672,142.88999938964844,143.94000244140625,866900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-26,146.5,146.9600067138672,144.1699981689453,146.8000030517578,1565100.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-27,145.41000366210938,147.7899932861328,144.88999938964844,146.8300018310547,2009800.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-11-28,147.58999633789062,153.9199981689453,145.00999450683594,153.83999633789062,3195700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True
2018-11-29,152.32000732421875,154.9199981689453,151.82000732421875,152.75,1932100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-30,153.0,157.17999267578125,150.8300018310547,156.9600067138672,3687800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
2018-12-03,161.0,162.8699951171875,158.25,161.02000427246094,3683700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
2018-12-04,158.52999877929688,159.0,148.50999450683594,149.69000244140625,5228200.0,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False
2018-12-06,145.0,147.41000366210938,142.0500030517578,145.72999572753906,5566400.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True
2018-12-07,145.6199951171875,145.69000244140625,137.44000244140625,138.02999877929688,3084600.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-10,137.30999755859375,139.22000122070312,135.16000366210938,137.82000732421875,2734000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-11,140.41000366210938,144.77000427246094,137.38999938964844,138.2899932861328,2213500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-12,141.07000732421875,141.75999450683594,137.39999389648438,138.4499969482422,3016900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-13,139.50999450683594,140.55999755859375,137.72999572753906,138.75999450683594,1669600.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-14,136.1300048828125,137.47000122070312,133.9199981689453,135.3699951171875,3384900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-17,135.02999877929688,139.17999267578125,133.94000244140625,135.67999267578125,2468000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-18,137.02999877929688,142.35000610351562,136.27999877929688,137.92999267578125,2500100.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-19,135.58999633789062,140.42999267578125,129.92999267578125,131.1199951171875,3624400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-12-20,132.1199951171875,132.9499969482422,126.6500015258789,128.30999755859375,4369800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-12-21,129.11000061035156,131.99000549316406,126.73999786376953,127.16000366210938,3913100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-12-24,126.56999969482422,127.41999816894531,123.22000122070312,123.27999877929688,1305200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-26,124.97000122070312,130.94000244140625,122.63999938964844,130.83999633789062,3238800.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,127.91000366210938,133.2899932861328,127.51000213623047,133.27999877929688,1813700.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-12-28,133.60000610351562,138.0399932861328,133.32000732421875,135.4199981689453,2287600.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-12-31,136.77999877929688,137.89999389648438,134.30999755859375,136.1699981689453,1597200.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2019-01-02,133.4600067138672,139.64999389648438,133.39999389648438,138.3000030517578,1712600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-03,135.1999969482422,136.35000610351562,131.35000610351562,131.6300048828125,2111100.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2019-01-04,134.08999633789062,138.24000549316406,133.35000610351562,138.05999755859375,2127000.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2019-01-07,138.47000122070312,141.07000732421875,137.38999938964844,139.2899932861328,1394000.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-08,140.22999572753906,140.47000122070312,133.36000061035156,136.92999267578125,2746300.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2019-01-09,138.7100067138672,144.6699981689453,138.27999877929688,144.0,3336700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2019-01-10,143.08999633789062,145.57000732421875,141.38999938964844,144.57000732421875,2009400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-11,143.9499969482422,147.07000732421875,142.89999389648438,144.11000061035156,2281300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-14,142.25,142.32000732421875,138.6300048828125,140.42999267578125,3239100.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,True,True
2019-01-15,141.32000732421875,142.36000061035156,138.8800048828125,140.0,1453900.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2019-01-16,140.13999938964844,141.75,138.63999938964844,138.75,1912400.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2019-01-17,137.97000122070312,141.9499969482422,136.64999389648438,141.75999450683594,1844500.0,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-18,143.2899932861328,149.8800048828125,143.10000610351562,147.5500030517578,3780200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2019-01-22,146.35000610351562,146.52999877929688,138.42999267578125,139.88999938964844,3724900.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False
2019-01-23,140.6699981689453,142.27000427246094,137.5800018310547,139.3300018310547,3506800.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2019-01-24,150.25,162.17999267578125,150.02000427246094,161.1999969482422,13421400.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
2019-01-25,163.02999877929688,166.80999755859375,159.75,165.49000549316406,7158500.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
2019-01-28,160.0,167.0,159.0,166.05999755859375,4513900.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2019-01-29,169.33999633789062,169.97000122070312,163.91000366210938,164.99000549316406,3421200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-30,167.42999267578125,172.52999877929688,166.64999389648438,170.92999267578125,3880700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2019-01-31,169.61000061035156,172.89999389648438,167.86000061035156,169.5800018310547,3048100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-01,170.1999969482422,173.5,169.42999267578125,172.77000427246094,2891700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-04,172.4499969482422,173.9499969482422,170.8800048828125,173.16000366210938,1738600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-05,172.5800018310547,174.44000244140625,171.6999969482422,173.69000244140625,2474300.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-06,174.3300018310547,180.52999877929688,174.0,177.10000610351562,3379400.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True
2019-02-07,175.02000427246094,176.6999969482422,173.25999450683594,175.72000122070312,2166400.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-08,172.67999267578125,175.63999938964844,171.64999389648438,175.3000030517578,1704200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-11,175.6300048828125,177.0,174.83999633789062,175.9199981689453,1682800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-12,178.0,180.13999938964844,177.3000030517578,179.25,1963100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-13,180.0800018310547,182.9600067138672,179.27999877929688,181.00999450683594,2028100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True
2019-02-14,180.05999755859375,185.24000549316406,180.05999755859375,181.3300018310547,2001200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-15,182.02000427246094,183.14999389648438,179.33999633789062,181.08999633789062,2313800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-19,180.94000244140625,183.0,180.22000122070312,180.30999755859375,1551600.0,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-20,181.1699981689453,183.1999969482422,180.55999755859375,182.2100067138672,2197200.0,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False
2019-02-21,182.19000244140625,182.83999633789062,178.57000732421875,178.82000732421875,1914100.0,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False
2019-02-22,176.44000244140625,179.91000366210938,175.10000610351562,179.22000122070312,2710300.0,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False
2019-02-25,182.3000030517578,182.3800048828125,179.4199981689453,179.60000610351562,1838000.0,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False
2019-02-26,178.88999938964844,180.32000732421875,178.1999969482422,178.55999755859375,1506300.0,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
2019-02-27,177.63999938964844,178.2100067138672,174.32000732421875,177.1999969482422,1758600.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
2019-02-28,176.16000366210938,177.0399932861328,174.89999389648438,176.08999633789062,1659700.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2019-03-01,177.6699981689453,179.05999755859375,175.88999938964844,176.75,1513600.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2019-03-04,177.35000610351562,180.2899932861328,176.55999755859375,177.77000427246094,2278100.0,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
2019-03-05,176.9600067138672,177.27000427246094,172.25,173.5399932861328,2575600.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2019-03-06,173.5,173.92999267578125,168.17999267578125,169.19000244140625,3012400.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True
2019-03-07,168.50999450683594,168.5399932861328,164.88999938964844,167.16000366210938,2446700.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
2019-03-08,164.6999969482422,169.41000366210938,163.60000610351562,168.8300018310547,1943900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-03-11,169.6300048828125,173.0800018310547,169.52000427246094,172.00999450683594,2029700.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
