Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,43.09000015258789,43.220001220703125,42.630001068115234,42.7599983215332,4161000.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,42.70000076293945,43.22999954223633,42.25,42.27000045776367,8494100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-11,42.41999816894531,42.689998626708984,41.04999923706055,41.189998626708984,9004000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,41.16999816894531,41.279998779296875,40.720001220703125,41.119998931884766,7255300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-15,40.93000030517578,41.380001068115234,40.93000030517578,41.040000915527344,8538100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-16,41.060001373291016,41.540000915527344,41.0099983215332,41.279998779296875,8909600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-17,41.310001373291016,41.529998779296875,40.900001525878906,41.15999984741211,10388000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-18,41.2400016784668,41.52000045776367,40.880001068115234,41.040000915527344,5286500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-19,41.47999954223633,42.060001373291016,41.43000030517578,41.79999923706055,8480000.0,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-22,42.06999969482422,42.189998626708984,41.400001525878906,41.439998626708984,5366000.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,41.2599983215332,41.5099983215332,40.68000030517578,41.2599983215332,7299200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,41.31999969482422,41.91999816894531,41.16999816894531,41.31999969482422,7630600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-25,41.150001525878906,41.34000015258789,40.7599983215332,41.0,8908300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-26,40.58000183105469,40.79999923706055,39.7599983215332,40.11000061035156,11109500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
