Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,42.810001373291016,43.040000915527344,41.97999954223633,42.27000045776367,31576400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-10,41.5,42.75,41.31999969482422,41.61000061035156,48452000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-11,41.959999084472656,42.91999816894531,41.43000030517578,41.970001220703125,48197000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-12,43.58000183105469,43.75,41.91999816894531,42.470001220703125,32851100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,42.029998779296875,42.54999923706055,41.630001068115234,42.34000015258789,27697300,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,42.70000076293945,43.349998474121094,42.29999923706055,43.209999084472656,28827400,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-17,43.33000183105469,43.38999938964844,42.11000061035156,42.349998474121094,27759000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,42.040000915527344,42.209999084472656,41.13999938964844,41.29999923706055,33560800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,41.66999816894531,41.9900016784668,40.27000045776367,40.45000076293945,28641400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-22,40.560001373291016,40.70000076293945,38.63999938964844,39.7599983215332,34441200,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-23,38.150001525878906,39.11000061035156,37.40999984741211,38.68000030517578,46364200,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2018-10-24,38.0,38.29999923706055,35.400001525878906,35.43000030517578,53096500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-25,35.59000015258789,37.15999984741211,35.060001373291016,36.779998779296875,39625700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-26,35.279998779296875,35.90999984741211,34.29999923706055,35.400001525878906,41257400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-29,36.13999938964844,36.20000076293945,33.81999969482422,34.65999984741211,34176400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,34.63999938964844,36.04999923706055,34.4900016784668,36.0099983215332,35319500,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,36.58000183105469,38.040000915527344,35.79999923706055,37.720001220703125,44055400,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True
2018-11-01,37.97999954223633,40.20000076293945,37.52000045776367,40.119998931884766,43981400,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-02,40.189998626708984,40.939998626708984,39.63999938964844,40.31999969482422,33645700,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,40.099998474121094,40.2400016784668,38.77000045776367,39.91999816894531,22904000,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,39.7400016784668,40.560001373291016,39.560001373291016,39.79999923706055,19316600,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-07,40.31999969482422,41.04999923706055,39.959999084472656,40.93000030517578,22957200,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-08,40.66999816894531,41.43000030517578,40.34000015258789,40.439998626708984,15609300,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-09,39.88999938964844,39.9900016784668,38.40999984741211,39.11000061035156,26102800,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-12,38.2400016784668,38.529998779296875,36.84000015258789,37.439998626708984,24822400,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-13,37.65999984741211,38.7400016784668,37.439998626708984,37.849998474121094,25870500,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-14,38.619998931884766,38.970001220703125,37.61000061035156,38.029998779296875,23706400,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-15,37.95000076293945,40.16999816894531,37.619998931884766,39.90999984741211,30046100,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-16,38.45000076293945,39.709999084472656,38.33000183105469,39.439998626708984,25445700,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-19,39.20000076293945,39.31999969482422,36.66999816894531,36.83000183105469,31039100,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-20,34.099998474121094,36.9900016784668,34.04999923706055,36.119998931884766,38728600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-11-21,37.0,37.220001220703125,36.369998931884766,36.380001068115234,22728400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,35.93000030517578,37.5,35.91999816894531,36.400001525878906,11257800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-26,37.75,37.790000915527344,35.529998779296875,36.56999969482422,26569700,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-27,36.09000015258789,37.45000076293945,36.02000045776367,37.0,21397300,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-28,37.290000915527344,39.0,35.9900016784668,38.709999084472656,42293700,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-11-29,38.29999923706055,38.709999084472656,37.72999954223633,37.90999984741211,23631300,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-11-30,37.75,38.630001068115234,36.939998626708984,38.560001373291016,28176000,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-12-03,40.20000076293945,40.2400016784668,39.150001525878906,40.029998779296875,35830000,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-12-04,39.560001373291016,39.869998931884766,36.720001220703125,36.880001068115234,36616300,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-12-06,35.65999984741211,37.68000030517578,35.130001068115234,37.66999816894531,37494400,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2018-12-07,37.619998931884766,37.619998931884766,35.209999084472656,35.310001373291016,30619800,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-10,34.83000183105469,35.720001220703125,34.529998779296875,34.79999923706055,33979700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-11,35.59000015258789,36.2599983215332,35.099998474121094,35.209999084472656,26238800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-12,35.939998626708984,36.61000061035156,35.400001525878906,36.029998779296875,26642500,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-13,36.290000915527344,36.369998931884766,34.7599983215332,35.02000045776367,23825400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-14,34.439998626708984,35.45000076293945,34.060001373291016,34.20000076293945,28922100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-17,34.15999984741211,35.220001220703125,33.599998474121094,33.880001068115234,30891000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-12-18,34.38999938964844,34.939998626708984,33.970001220703125,34.11000061035156,46135400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-12-19,31.65999984741211,33.58000183105469,31.270000457763672,31.40999984741211,106669600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
