Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,52.54999923706055,53.0099983215332,52.40999984741211,52.86000061035156,1451100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-10,52.02000045776367,52.52000045776367,50.689998626708984,50.779998779296875,2853300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-11,50.7400016784668,52.70000076293945,50.63999938964844,51.52000045776367,3245100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-12,52.58000183105469,52.81999969482422,51.220001220703125,51.79999923706055,2138000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-15,51.7400016784668,52.209999084472656,51.29999923706055,51.310001373291016,1668600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,51.91999816894531,53.09000015258789,51.790000915527344,52.97999954223633,1957300.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,53.36000061035156,53.36000061035156,52.27000045776367,52.86000061035156,1466000.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,51.33000183105469,51.86000061035156,50.75,51.36000061035156,4339800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-19,51.599998474121094,52.52000045776367,50.810001373291016,51.13999938964844,2845000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,51.43000030517578,51.83000183105469,51.08000183105469,51.31999969482422,1930600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,50.04999923706055,51.38999938964844,49.209999084472656,51.060001373291016,3627300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-24,49.65999984741211,49.869998931884766,46.849998474121094,46.900001525878906,8139200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-25,47.54999923706055,48.900001525878906,47.54999923706055,48.130001068115234,4561800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-26,46.900001525878906,49.2400016784668,46.900001525878906,48.2599983215332,3967400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-29,49.15999984741211,49.709999084472656,47.95000076293945,48.56999969482422,3487700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,48.81999969482422,50.099998474121094,47.959999084472656,49.779998779296875,4003200.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,50.7400016784668,52.0,49.2400016784668,50.02000045776367,6387300.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True
2018-11-01,50.0099983215332,53.61000061035156,49.79999923706055,53.119998931884766,4847900.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,53.70000076293945,53.70000076293945,51.27000045776367,51.90999984741211,4178800.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,51.75,52.0099983215332,50.790000915527344,51.40999984741211,2332100.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,51.33000183105469,52.33000183105469,51.29999923706055,51.68000030517578,2430200.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-07,52.36000061035156,52.88999938964844,51.880001068115234,52.63999938964844,2407700.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-08,52.18000030517578,53.5099983215332,52.02000045776367,53.220001220703125,3031900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,52.58000183105469,53.16999816894531,51.4900016784668,52.09000015258789,5706100.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-11-12,51.150001525878906,51.68000030517578,50.880001068115234,51.310001373291016,2871100.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-13,51.66999816894531,52.68000030517578,51.369998931884766,51.439998626708984,2941300.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-14,52.060001373291016,52.31999969482422,51.29999923706055,51.689998626708984,2805900.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-15,51.38999938964844,53.459999084472656,51.08000183105469,53.43000030517578,2323300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-16,52.349998474121094,53.599998474121094,52.25,53.31999969482422,2453800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-19,53.20000076293945,53.58000183105469,51.970001220703125,52.0,2313300.0,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
2018-11-20,51.06999969482422,52.810001373291016,51.04999923706055,52.04999923706055,2426700.0,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-21,52.779998779296875,53.439998626708984,52.2400016784668,52.4900016784668,2342600.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-23,51.91999816894531,52.959999084472656,51.91999816894531,52.7599983215332,641100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-26,53.58000183105469,53.630001068115234,52.779998779296875,53.380001068115234,2530200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-27,55.790000915527344,56.459999084472656,54.97999954223633,55.599998474121094,11138600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2018-11-28,55.56999969482422,56.5,54.77000045776367,56.220001220703125,5484800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
2018-11-29,56.189998626708984,56.29999923706055,55.20000076293945,55.34000015258789,5939000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-11-30,55.220001220703125,55.9900016784668,54.61000061035156,55.91999816894531,55822900.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True
2018-12-03,56.970001220703125,57.2400016784668,56.08000183105469,57.09000015258789,5665800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-12-04,57.02000045776367,57.040000915527344,54.75,54.81999969482422,6388700.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-12-06,53.529998779296875,54.72999954223633,53.5,54.47999954223633,6208000.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-12-07,53.7599983215332,54.31999969482422,52.56999969482422,52.900001525878906,3005000.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-12-10,52.91999816894531,53.4900016784668,52.400001525878906,53.33000183105469,4062400.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-11,54.36000061035156,54.650001525878906,52.83000183105469,53.09000015258789,5511600.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2018-12-12,54.0,54.56999969482422,53.310001373291016,54.18000030517578,2561500.0,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-12-13,54.290000915527344,54.5099983215332,53.099998474121094,53.380001068115234,2765100.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-14,53.119998931884766,53.790000915527344,52.77000045776367,52.779998779296875,2424300.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-17,52.72999954223633,53.369998931884766,51.939998626708984,52.20000076293945,2831800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-18,52.41999816894531,53.029998779296875,51.91999816894531,52.08000183105469,2688200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-19,52.060001373291016,52.09000015258789,49.279998779296875,49.369998931884766,4399000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-20,49.2599983215332,50.16999816894531,48.31999969482422,48.81999969482422,3602500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-21,49.689998626708984,50.279998779296875,48.130001068115234,48.220001220703125,5079200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-12-24,48.09000015258789,48.4900016784668,46.63999938964844,46.65999984741211,1799900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-26,47.09000015258789,49.36000061035156,46.7599983215332,49.31999969482422,3229500.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,48.56999969482422,49.970001220703125,48.31999969482422,49.970001220703125,2305900.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-12-28,50.060001373291016,51.029998779296875,49.77000045776367,50.130001068115234,2013000.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-12-31,50.61000061035156,51.09000015258789,50.209999084472656,50.849998474121094,2021900.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2019-01-02,49.66999816894531,51.279998779296875,49.650001525878906,50.84000015258789,3147100.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True
2019-01-03,49.720001220703125,50.25,47.83000183105469,47.95000076293945,3801200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019-01-04,48.04999923706055,50.130001068115234,48.04999923706055,50.060001373291016,3600000.0,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2019-01-07,49.83000183105469,51.189998626708984,49.310001373291016,50.58000183105469,2775400.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2019-01-08,50.90999984741211,51.11000061035156,49.47999954223633,49.81999969482422,2974800.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2019-01-09,50.349998474121094,51.45000076293945,50.29999923706055,51.16999816894531,1985600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-10,50.939998626708984,51.79999923706055,50.81999969482422,51.720001220703125,1553900.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-11,51.38999938964844,53.18000030517578,51.25,52.86000061035156,2139300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-14,52.209999084472656,52.38999938964844,51.06999969482422,51.119998931884766,2790200.0,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,True
2019-01-15,51.470001220703125,52.06999969482422,51.439998626708984,51.689998626708984,1539600.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-16,51.68000030517578,52.59000015258789,51.18000030517578,52.060001373291016,1866600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-17,52.099998474121094,52.900001525878906,51.40999984741211,52.709999084472656,1790500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-18,53.13999938964844,53.75,52.5,53.61000061035156,1971800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-22,53.150001525878906,53.220001220703125,51.52000045776367,51.88999938964844,3165200.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,True,True
2019-01-23,52.09000015258789,52.47999954223633,51.369998931884766,52.029998779296875,2483600.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-24,52.75,55.15999984741211,52.619998931884766,54.540000915527344,3138800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False
2019-01-25,55.220001220703125,56.689998626708984,54.83000183105469,56.27000045776367,2633500.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2019-01-28,54.560001373291016,55.88999938964844,54.41999816894531,55.599998474121094,2729400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-29,55.880001068115234,55.880001068115234,54.939998626708984,54.97999954223633,2366600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-30,54.349998474121094,55.20000076293945,52.45000076293945,54.459999084472656,4613500.0,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,False
2019-01-31,54.2599983215332,54.86000061035156,53.9900016784668,54.27000045776367,2557500.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-01,54.560001373291016,55.2599983215332,54.25,54.61000061035156,2548900.0,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-04,54.54999923706055,55.04999923706055,54.15999984741211,55.04999923706055,1801300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-05,55.13999938964844,55.4900016784668,54.59000015258789,55.189998626708984,2204100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-06,55.77000045776367,56.650001525878906,55.540000915527344,56.18000030517578,2900400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2019-02-07,55.689998626708984,55.97999954223633,54.459999084472656,54.849998474121094,1901600.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2019-02-08,54.029998779296875,54.81999969482422,53.83000183105469,54.720001220703125,1908200.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2019-02-11,54.81999969482422,55.09000015258789,54.41999816894531,54.689998626708984,1004500.0,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
2019-02-12,55.43000030517578,55.7599983215332,55.279998779296875,55.630001068115234,1386300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-13,55.84000015258789,55.939998626708984,55.349998474121094,55.459999084472656,1003100.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2019-02-14,55.369998931884766,55.91999816894531,54.95000076293945,55.790000915527344,1158200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-02-15,56.25,56.5,55.650001525878906,55.849998474121094,1620500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2019-02-19,55.47999954223633,55.79999923706055,55.470001220703125,55.52000045776367,1563900.0,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False
2019-02-20,55.66999816894531,56.22999954223633,55.66999816894531,55.91999816894531,1115600.0,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2019-02-21,55.849998474121094,55.970001220703125,55.130001068115234,55.2599983215332,1695000.0,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
2019-02-22,55.93000030517578,56.04999923706055,55.5099983215332,55.900001525878906,1274200.0,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2019-02-25,56.470001220703125,56.68000030517578,56.2599983215332,56.47999954223633,1350000.0,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2019-02-26,56.31999969482422,56.5099983215332,55.599998474121094,55.619998931884766,1259600.0,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
2019-02-27,54.81999969482422,54.88999938964844,53.81999969482422,54.18000030517578,1667600.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2019-02-28,53.91999816894531,54.52000045776367,53.86000061035156,54.43000030517578,2056500.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
2019-03-01,54.959999084472656,55.25,54.31999969482422,55.04999923706055,1993700.0,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
2019-03-04,55.56999969482422,55.65999984741211,54.5,55.36000061035156,1801700.0,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
