Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,34.5,35.18000030517578,33.09000015258789,34.61000061035156,14016100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-10,34.5,35.2400016784668,34.33000183105469,34.58000183105469,6017300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-11,34.47999954223633,34.47999954223633,32.2599983215332,32.599998474121094,7471000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-12,33.06999969482422,33.22999954223633,31.540000915527344,32.11000061035156,8076100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2018-10-15,32.11000061035156,32.810001373291016,31.8799991607666,32.369998931884766,4692000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,32.65999984741211,33.25,32.40999984741211,33.11000061035156,3836100,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-17,32.810001373291016,33.29999923706055,32.560001373291016,33.02000045776367,3310000,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-18,33.0,33.150001525878906,32.189998626708984,32.41999816894531,4501800,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-19,32.52000045776367,33.09000015258789,32.150001525878906,32.209999084472656,5702300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-22,32.279998779296875,32.45000076293945,31.3700008392334,31.65999984741211,4393200,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-23,31.25,32.47999954223633,30.760000228881836,32.11000061035156,5398600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-24,32.11000061035156,32.45000076293945,30.440000534057617,30.530000686645508,5741600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-25,30.540000915527344,31.049999237060547,30.329999923706055,31.010000228881836,4710600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-26,30.610000610351562,31.979999542236328,30.350000381469727,31.290000915527344,7274000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-29,31.610000610351562,31.829999923706055,30.65999984741211,31.18000030517578,3880600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,31.1299991607666,31.709999084472656,30.760000228881836,31.309999465942383,4725200,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,31.56999969482422,31.799999237060547,31.1200008392334,31.25,4785600,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-11-01,31.40999984741211,32.59000015258789,31.309999465942383,32.43000030517578,3906600,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-11-02,32.560001373291016,32.790000915527344,31.329999923706055,31.68000030517578,5083500,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-05,31.65999984741211,31.850000381469727,31.030000686645508,31.3700008392334,7640800,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2018-11-06,34.86000061035156,37.560001373291016,34.75,36.43000030517578,26087600,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True
2018-11-07,36.849998474121094,36.849998474121094,35.93000030517578,36.54999923706055,8031600,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-08,36.209999084472656,37.310001373291016,35.779998779296875,37.150001525878906,5604900,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-09,36.91999816894531,37.060001373291016,36.43000030517578,36.95000076293945,4300400,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-12,36.939998626708984,36.939998626708984,35.81999969482422,35.939998626708984,4262900,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-13,36.11000061035156,36.459999084472656,35.68000030517578,35.7599983215332,4186000,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-14,35.869998931884766,36.09000015258789,34.02000045776367,34.22999954223633,7307400,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
2018-11-15,34.380001068115234,35.220001220703125,34.029998779296875,35.13999938964844,5067100,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-16,34.939998626708984,35.45000076293945,34.720001220703125,34.91999816894531,4183000,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-19,34.849998474121094,35.15999984741211,34.31999969482422,34.599998474121094,3097600,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
2018-11-20,34.5,35.06999969482422,33.439998626708984,33.90999984741211,6017800,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-21,33.79999923706055,33.9900016784668,33.029998779296875,33.380001068115234,3685700,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-23,33.16999816894531,33.79999923706055,32.900001525878906,33.4900016784668,1313500,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-26,33.790000915527344,33.880001068115234,33.34000015258789,33.470001220703125,3364900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-27,33.27000045776367,33.59000015258789,33.029998779296875,33.4900016784668,3074400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-28,33.5099983215332,34.040000915527344,33.029998779296875,34.040000915527344,3785400,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-29,33.83000183105469,34.45000076293945,33.61000061035156,34.040000915527344,3160000,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-30,34.130001068115234,34.459999084472656,33.33000183105469,33.86000061035156,3521000,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-03,34.189998626708984,34.459999084472656,33.439998626708984,34.099998474121094,3444500,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-12-04,34.13999938964844,34.349998474121094,32.709999084472656,32.959999084472656,4421600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-06,32.4900016784668,32.689998626708984,31.389999389648438,31.84000015258789,7640900,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
