Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,79.7699966430664,80.94000244140625,79.2699966430664,79.7300033569336,2584500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-10,79.31999969482422,79.38999938964844,75.36000061035156,75.63999938964844,3760300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,75.13999938964844,76.80999755859375,73.63999938964844,73.95999908447266,3649600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-12,75.88999938964844,77.26000213623047,75.41999816894531,76.91999816894531,2642200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,76.44000244140625,76.7300033569336,75.30000305175781,75.33000183105469,1594400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,75.94000244140625,78.12999725341797,75.56999969482422,77.91999816894531,2501300.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,80.30999755859375,80.41000366210938,77.2699966430664,79.06999969482422,2400600.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,78.63999938964844,79.43000030517578,77.19000244140625,78.04000091552734,2140200.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,78.6500015258789,79.05000305175781,76.93000030517578,77.56999969482422,2295700.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,77.8499984741211,80.58999633789062,77.62000274658203,80.31999969482422,2716500.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True
2018-10-23,77.01000213623047,78.11000061035156,74.94999694824219,77.38999938964844,4544800.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2018-10-24,77.44000244140625,78.13999938964844,74.05000305175781,74.19999694824219,3907000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-25,75.06999969482422,76.80999755859375,74.58999633789062,76.23999786376953,3245800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,73.37000274658203,73.76000213623047,70.26000213623047,71.81999969482422,4293100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-29,73.18000030517578,74.68000030517578,70.61000061035156,71.91000366210938,3648800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,71.94999694824219,76.66000366210938,71.69000244140625,76.55999755859375,3257500.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-31,77.55000305175781,79.77999877929688,77.19999694824219,78.48999786376953,3321100.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-01,78.4800033569336,79.5999984741211,77.58000183105469,79.48999786376953,2678300.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,79.19000244140625,80.36000061035156,78.1500015258789,78.91000366210938,2657200.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,79.30999755859375,80.4000015258789,78.69000244140625,80.12000274658203,1641000.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,80.12000274658203,80.91000366210938,79.5,80.31999969482422,1769000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-07,81.5199966430664,83.30999755859375,81.16000366210938,82.81999969482422,1807700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-08,83.20999908447266,83.94999694824219,82.41000366210938,82.83999633789062,2487900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-09,82.33999633789062,82.55999755859375,80.95999908447266,81.66000366210938,2957900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-12,81.79000091552734,81.9000015258789,78.26000213623047,78.87000274658203,3382400.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True
2018-11-13,79.5199966430664,80.19000244140625,78.25,78.88999938964844,2481900.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-14,80.02999877929688,80.87999725341797,77.7699966430664,78.02999877929688,3735700.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
2018-11-15,71.01000213623047,71.30000305175781,67.2699966430664,68.87999725341797,12103700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-11-16,68.62999725341797,71.91000366210938,67.7699966430664,71.9000015258789,6422400.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-19,71.0999984741211,71.47000122070312,66.77999877929688,67.27999877929688,4768700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-11-20,65.58999633789062,68.29000091552734,64.77999877929688,67.66999816894531,4246800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-21,67.4800033569336,68.08999633789062,65.86000061035156,65.91000366210938,3561200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-23,65.5,66.98999786376953,65.33999633789062,65.66000366210938,1598900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-26,66.86000061035156,68.16999816894531,65.87999725341797,67.76000213623047,3330400.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-27,67.0999984741211,67.6500015258789,66.44999694824219,67.2699966430664,1963200.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-28,67.80999755859375,69.86000061035156,67.80999755859375,69.4800033569336,2798000.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-29,69.06999969482422,69.19000244140625,67.31999969482422,67.4000015258789,3015300.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
