Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,215.9499969482422,218.33999633789062,212.52999877929688,217.10000610351562,633600.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
2018-10-10,213.92999267578125,214.8800048828125,209.38999938964844,210.50999450683594,1527400.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2018-10-11,205.6199951171875,212.8699951171875,205.0,211.39999389648438,1554900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-12,218.22000122070312,222.3699951171875,217.10000610351562,220.8800048828125,1163500.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-10-15,215.47000122070312,219.4499969482422,212.61000061035156,217.94000244140625,587000.0,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-10-16,220.0,225.75,219.22000122070312,225.25,694700.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-10-17,224.8000030517578,225.0,219.1999969482422,221.00999450683594,534200.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-18,217.0,218.42999267578125,210.16000366210938,211.97999572753906,855200.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-10-19,217.2100067138672,219.41000366210938,208.8000030517578,210.1699981689453,820200.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,217.91000366210938,220.1699981689453,212.19000244140625,214.27999877929688,870000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,204.6300048828125,212.6699981689453,201.35000610351562,210.94000244140625,756300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,205.41000366210938,207.47000122070312,192.88999938964844,193.0,1258300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-25,195.00999450683594,199.77000427246094,194.00999450683594,199.49000549316406,904900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,188.5,205.52000427246094,188.0500030517578,201.17999267578125,1062300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-29,205.38999938964844,205.38999938964844,193.35000610351562,197.11000061035156,750900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,197.1699981689453,201.47999572753906,192.02999877929688,200.10000610351562,595400.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,205.0399932861328,209.22999572753906,203.4199981689453,207.85000610351562,657100.0,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-11-01,212.0,225.6199951171875,210.05999755859375,220.6199951171875,1106000.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-11-02,225.0,226.25999450683594,218.86000061035156,222.66000366210938,784200.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,226.0,232.8800048828125,223.6999969482422,226.2899932861328,840700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-06,227.35000610351562,233.47000122070312,225.36000061035156,228.63999938964844,507800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-07,233.27000427246094,237.5500030517578,231.97000122070312,235.0500030517578,740900.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-08,232.69000244140625,238.47999572753906,229.0,231.39999389648438,950600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-09,224.0,225.0,216.57000732421875,221.91000366210938,1450000.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,True,True
2018-11-12,219.9499969482422,219.9499969482422,208.6300048828125,212.5800018310547,945000.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-11-13,216.6699981689453,220.0800018310547,212.5800018310547,214.19000244140625,834300.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-14,216.92999267578125,221.3699951171875,215.38999938964844,219.7100067138672,900700.0,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-15,228.5,242.0,228.5,231.38999938964844,1754400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-11-16,229.8300018310547,237.99000549316406,229.16000366210938,233.41000366210938,836500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-19,229.25999450683594,238.97000122070312,229.25999450683594,233.27999877929688,942800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-20,226.0,231.61000061035156,225.0,226.8000030517578,798100.0,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-21,229.08999633789062,239.47000122070312,229.08999633789062,233.5800018310547,658700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-23,230.44000244140625,231.0399932861328,221.02000427246094,225.75,532500.0,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-26,228.52999877929688,233.22000122070312,227.58999633789062,229.97999572753906,420300.0,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-27,229.1199951171875,231.22999572753906,225.08999633789062,230.3300018310547,502700.0,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-28,233.14999389648438,236.7100067138672,223.8800048828125,233.60000610351562,783200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-29,228.10000610351562,230.47000122070312,220.8800048828125,223.22999572753906,879200.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2018-11-30,223.25999450683594,229.61000061035156,223.25999450683594,227.07000732421875,1065200.0,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True
2018-12-03,234.13999938964844,238.47000122070312,231.6999969482422,235.36000061035156,1014900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-04,234.94000244140625,237.5,228.89999389648438,229.42999267578125,847500.0,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False
2018-12-06,223.0500030517578,240.4499969482422,220.00999450683594,238.47000122070312,1133100.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-07,237.86000061035156,243.8699951171875,234.63999938964844,236.61000061035156,993100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-10,234.19000244140625,240.6199951171875,232.49000549316406,236.82000732421875,739100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-11,240.5399932861328,244.8800048828125,235.8300018310547,237.91000366210938,637900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-12,244.14999389648438,250.92999267578125,240.8300018310547,247.08999633789062,895900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False
2018-12-13,250.75,257.1499938964844,248.1999969482422,253.3300018310547,1193900.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True
2018-12-14,247.64999389648438,251.9499969482422,246.1199951171875,248.0,917000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-17,246.00999450683594,246.27999877929688,236.6699981689453,238.58999633789062,603200.0,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
2018-12-18,240.2100067138672,240.83999633789062,231.86000061035156,232.52000427246094,646300.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-19,237.8300018310547,241.47999572753906,230.67999267578125,233.3699951171875,845800.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2018-12-20,234.99000549316406,237.92999267578125,229.17999267578125,235.82000732421875,785700.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
2018-12-21,249.89999389648438,253.0,241.2899932861328,244.42999267578125,2386300.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False
2018-12-24,241.88999938964844,249.83999633789062,241.77000427246094,245.02999877929688,506600.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-12-26,246.57000732421875,247.0,236.2899932861328,243.52000427246094,631500.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-12-27,239.2100067138672,246.74000549316406,237.33999633789062,246.38999938964844,1047500.0,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True
2018-12-28,242.25999450683594,243.94000244140625,232.50999450683594,236.91000366210938,755800.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-31,239.11000061035156,243.88999938964844,233.88999938964844,235.3699951171875,432300.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2019-01-02,230.80999755859375,232.89999389648438,226.10000610351562,229.74000549316406,779600.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2019-01-03,226.52999877929688,228.55999755859375,218.83999633789062,220.89999389648438,644500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2019-01-04,226.2100067138672,238.8000030517578,225.25,229.75,1151900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-01-07,235.0,241.0,230.6300048828125,239.49000549316406,692600.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2019-01-08,240.75999450683594,243.5399932861328,237.6699981689453,242.41000366210938,621000.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2019-01-09,244.0,258.7200012207031,243.05999755859375,258.44000244140625,1232600.0,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False
2019-01-10,253.8000030517578,255.92999267578125,248.97000122070312,255.14999389648438,828000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-11,253.42999267578125,254.4199981689453,241.5,243.4199981689453,830500.0,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2019-01-14,242.1699981689453,246.38999938964844,239.22000122070312,240.0800018310547,741400.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
