Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,108.68000030517578,108.94000244140625,107.5199966430664,108.12000274658203,4105600.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,107.58999633789062,109.3499984741211,107.19999694824219,107.33999633789062,5796200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-11,108.20999908447266,108.4800033569336,104.9000015258789,105.05999755859375,5755100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-12,105.30000305175781,105.76000213623047,104.52999877929688,105.27999877929688,4543000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-15,105.19999694824219,106.6500015258789,105.16999816894531,105.62999725341797,3805700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,106.30999755859375,107.69000244140625,105.83999633789062,107.38999938964844,4061600.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,107.20999908447266,108.77999877929688,107.19000244140625,108.30999755859375,4495900.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-10-18,108.4800033569336,109.3499984741211,107.55000305175781,107.93000030517578,4093700.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-10-19,108.58999633789062,110.5999984741211,108.48999786376953,110.29000091552734,5109000.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-22,110.08999633789062,110.88999938964844,109.23999786376953,109.4000015258789,5477700.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-10-23,108.93000030517578,110.52999877929688,108.31999969482422,110.12999725341797,4484100.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-24,110.19999694824219,114.16000366210938,109.94999694824219,112.95999908447266,8222900.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
2018-10-25,112.95999908447266,113.2699966430664,111.41999816894531,112.8499984741211,6712900.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False
