Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,80.6500015258789,81.83999633789062,79.44000244140625,80.02999877929688,9332400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,79.61000061035156,79.91000366210938,75.31999969482422,75.44999694824219,16920300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,76.80999755859375,77.78500366210938,74.66000366210938,75.9000015258789,21006500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,79.12000274658203,79.5999984741211,77.79000091552734,79.02999877929688,14131400,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,78.87999725341797,79.13999938964844,77.22000122070312,77.2300033569336,8481100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,78.8499984741211,80.91000366210938,78.45999908447266,80.61000061035156,10060000,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,81.19000244140625,81.38999938964844,79.5,80.08999633789062,10022600,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,80.16999816894531,80.44000244140625,77.36000061035156,77.4800033569336,19748500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-19,83.75,86.16999816894531,82.91999816894531,84.77999877929688,34211900,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True
2018-10-22,84.86000061035156,86.2300033569336,83.57099914550781,85.43000030517578,11254800,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-23,83.19999694824219,87.80000305175781,82.98999786376953,87.56999969482422,14753800,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-24,87.04000091552734,87.69000244140625,83.01000213623047,83.08999633789062,14754600,False,True,True,True,False,False,True,True,True,False,True,False,False,False,False,True,False,True
2018-10-25,84.23999786376953,86.51000213623047,83.55999755859375,85.95999908447266,9267600,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-26,83.22000122070312,85.66000366210938,82.18000030517578,83.37000274658203,13969400,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-10-29,84.73999786376953,85.23999786376953,78.98999786376953,81.1500015258789,12918800,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-30,80.33000183105469,81.95999908447266,79.41999816894531,80.9000015258789,13100800,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-31,82.37000274658203,85.3499984741211,82.30000305175781,84.19000244140625,11191800,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-01,84.18000030517578,85.1500015258789,83.56999969482422,85.04000091552734,5952600,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-02,85.45999908447266,86.10399627685547,82.6500015258789,83.51000213623047,7014400,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-05,83.33000183105469,84.25,82.25,84.05000305175781,4622300,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-06,84.0999984741211,85.30999755859375,83.72000122070312,84.69000244140625,4662500,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-07,85.86000061035156,88.48999786376953,85.7300033569336,88.2300033569336,8672000,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-08,87.69999694824219,89.05999755859375,87.68000030517578,89.04000091552734,7539000,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,88.44999694824219,88.44999694824219,85.55000305175781,86.76000213623047,9105900,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,86.16999816894531,86.6500015258789,83.30000305175781,83.77999877929688,6278200,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-11-13,84.12000274658203,85.22899627685547,83.16000366210938,83.77999877929688,4731300,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-11-14,84.9800033569336,85.13999938964844,83.06999969482422,84.05000305175781,6678100,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-11-15,83.79000091552734,87.08999633789062,83.5999984741211,86.73999786376953,10001200,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-11-16,86.0,86.72000122070312,84.83000183105469,85.05999755859375,7581000,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-19,84.7699966430664,85.19000244140625,79.9000015258789,80.12999725341797,11455300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-20,77.0,79.08000183105469,75.47000122070312,77.76000213623047,14202100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-11-21,79.08999633789062,79.88999938964844,77.63500213623047,79.12000274658203,8522900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,78.08999633789062,79.70999908447266,77.9000015258789,77.94999694824219,3066900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
