Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,394.0,396.6400146484375,388.67999267578125,392.5299987792969,422000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-10-10,390.6000061035156,397.94000244140625,381.0,381.94000244140625,673300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-11,382.6499938964844,384.17999267578125,367.7300109863281,371.6700134277344,761600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2018-10-12,377.1199951171875,385.94000244140625,373.1000061035156,384.1600036621094,810200,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-15,384.1600036621094,385.7799987792969,374.3999938964844,377.54998779296875,444900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,381.30999755859375,399.3999938964844,380.7799987792969,398.5199890136719,684500,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-10-17,398.07000732421875,401.0,392.45001220703125,399.05999755859375,440000,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-18,399.8999938964844,399.8999938964844,389.989990234375,395.2200012207031,553500,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-19,396.5799865722656,400.2200012207031,387.5199890136719,389.8299865722656,728900,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-10-22,393.2900085449219,398.2799987792969,383.6099853515625,387.79998779296875,643900,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-23,384.1700134277344,387.19000244140625,377.0899963378906,380.69000244140625,778000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,380.2799987792969,386.0899963378906,350.7799987792969,351.3900146484375,1416600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-25,342.5799865722656,348.989990234375,330.7300109863281,336.94000244140625,2351700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-26,329.989990234375,342.7900085449219,329.1000061035156,335.82000732421875,1038700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-29,343.42999267578125,343.42999267578125,327.5799865722656,336.17999267578125,947000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,335.8599853515625,347.9800109863281,332.3999938964844,339.70001220703125,1086800,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-31,344.82000732421875,347.0,335.44000244140625,339.239990234375,890300,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-01,339.0,355.5299987792969,339.0,355.1099853515625,997300,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-02,358.2099914550781,361.17999267578125,347.739990234375,352.5899963378906,663600,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-05,354.3599853515625,360.6000061035156,352.6199951171875,354.92999267578125,819100,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-06,359.2099914550781,367.0,349.5899963378906,357.6099853515625,981400,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True
2018-11-07,359.8800048828125,365.67999267578125,355.8900146484375,364.25,823600,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False
2018-11-08,359.3800048828125,365.4700012207031,358.0199890136719,363.3399963378906,536600,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False
2018-11-09,362.1000061035156,362.54998779296875,352.5799865722656,356.6600036621094,544000,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-12,355.92999267578125,357.9200134277344,344.6300048828125,346.55999755859375,657100,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-11-13,349.1099853515625,352.67999267578125,341.0799865722656,342.1000061035156,594100,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-14,344.6400146484375,349.8500061035156,335.79998779296875,337.2900085449219,935300,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-15,334.510009765625,344.489990234375,332.0,341.6499938964844,796700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-16,340.20001220703125,347.3299865722656,338.57000732421875,345.3299865722656,768300,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-19,343.45001220703125,345.239990234375,333.92999267578125,338.989990234375,827800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-20,337.4700012207031,343.6700134277344,331.5400085449219,337.2900085449219,552500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-21,339.6000061035156,345.5799865722656,339.2099914550781,343.1700134277344,481200,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-23,340.20001220703125,349.6300048828125,339.9200134277344,340.8599853515625,199500,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-26,343.9599914550781,355.1400146484375,341.8399963378906,353.17999267578125,706000,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
