Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,274.32000732421875,278.0,272.6700134277344,275.67999267578125,703000,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,275.2699890136719,275.7099914550781,267.80999755859375,268.1300048828125,774000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-11,268.760009765625,274.32000732421875,264.7099914550781,267.57000732421875,744500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-12,272.0799865722656,277.92999267578125,272.0,275.6400146484375,1033100,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False
2018-10-15,276.1499938964844,285.010009765625,275.0799865722656,281.7300109863281,883000,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-16,283.6600036621094,286.54998779296875,278.2300109863281,285.4100036621094,731200,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-17,286.3299865722656,287.04998779296875,278.9599914550781,281.9200134277344,521600,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-18,280.6300048828125,283.1700134277344,271.260009765625,273.44000244140625,847000,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-19,275.5,277.8599853515625,270.6199951171875,270.7799987792969,977600,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2018-10-22,271.9100036621094,275.1499938964844,270.92999267578125,274.6099853515625,1138300,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-23,270.5,272.4200134277344,263.010009765625,272.04998779296875,959000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,271.7200012207031,275.25,266.7799987792969,267.0299987792969,794700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-25,267.7300109863281,273.6099853515625,266.3399963378906,272.239990234375,693300,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,268.0199890136719,276.07000732421875,266.0,274.8900146484375,839600,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-29,278.42999267578125,285.42999267578125,275.3999938964844,278.5,1015600,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-10-30,278.6000061035156,279.5299987792969,263.94000244140625,266.989990234375,1455300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-31,271.4200134277344,277.6499938964844,271.4100036621094,274.5199890136719,939400,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-01,275.8999938964844,277.7300109863281,272.2099914550781,272.95001220703125,703600,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-02,275.3599853515625,282.239990234375,275.0400085449219,281.95001220703125,957200,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,283.3399963378906,288.6499938964844,282.5400085449219,285.1300048828125,1134600,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-06,286.20001220703125,292.3699951171875,285.3399963378906,291.7900085449219,1093000,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False
2018-11-07,295.010009765625,297.760009765625,287.0,290.510009765625,1622000,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-11-08,281.760009765625,308.8800048828125,275.1099853515625,304.489990234375,1955800,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2018-11-09,303.70001220703125,312.20001220703125,302.1499938964844,308.1199951171875,1552000,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-12,308.5,312.3800048828125,305.5,308.989990234375,1152500,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-13,308.8800048828125,314.2900085449219,305.510009765625,314.25,802800,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-14,315.1499938964844,321.7300109863281,309.0,313.1300048828125,1182300,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-15,312.1300048828125,312.5199890136719,306.2300109863281,311.80999755859375,845800,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-16,311.010009765625,316.6400146484375,306.0199890136719,313.55999755859375,838500,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-19,315.3800048828125,322.489990234375,311.19000244140625,313.2799987792969,1031300,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-20,304.9700012207031,310.25,301.010009765625,302.1400146484375,1135200,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,True
2018-11-21,304.1499938964844,305.9800109863281,301.30999755859375,303.760009765625,545300,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-23,302.7699890136719,307.3800048828125,302.3299865722656,303.32000732421875,334600,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
2018-11-26,306.989990234375,309.2200012207031,299.6000061035156,301.1099853515625,1152700,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
2018-11-27,296.42999267578125,298.6300048828125,293.8800048828125,296.8299865722656,1546300,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
