Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,119.31999969482422,121.18000030517578,119.31999969482422,120.56999969482422,860800.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-10,119.9800033569336,119.98999786376953,115.0,115.11000061035156,1194600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-11,115.51000213623047,117.26000213623047,112.6500015258789,113.33000183105469,1236100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,114.20999908447266,115.45999908447266,113.52999877929688,114.77999877929688,933100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2018-10-15,114.58000183105469,115.04000091552734,113.2300033569336,113.2300033569336,676400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-16,114.02999877929688,116.66999816894531,113.68000030517578,116.2300033569336,611700.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,116.16999816894531,117.58000183105469,115.37000274658203,117.08000183105469,754900.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,116.68000030517578,117.58999633789062,114.9800033569336,115.63999938964844,547900.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,116.41000366210938,117.25,115.66999816894531,116.13999938964844,658500.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,116.52999877929688,117.22000122070312,115.87000274658203,116.69000244140625,688600.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True
2018-10-23,115.16000366210938,115.80999755859375,113.44000244140625,115.44999694824219,861000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-24,115.55999755859375,116.61000061035156,113.22000122070312,113.38999938964844,684400.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-25,114.25,115.83999633789062,113.2699966430664,114.91000366210938,806000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,112.80999755859375,114.97000122070312,111.5199966430664,113.83999633789062,915700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-29,115.26000213623047,116.80000305175781,112.7300033569336,114.48999786376953,1322800.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-30,115.05000305175781,117.27999877929688,114.80000305175781,116.91000366210938,1185600.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-10-31,116.91000366210938,121.95999908447266,113.83000183105469,119.83999633789062,2079300.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-11-01,119.4800033569336,120.11000061035156,115.62000274658203,115.63999938964844,1404500.0,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2018-11-02,116.26000213623047,117.44999694824219,114.81999969482422,115.55000305175781,1216400.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-05,116.05000305175781,117.30000305175781,114.19000244140625,116.91999816894531,858200.0,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,117.12000274658203,119.12000274658203,116.93000030517578,118.87999725341797,775900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-07,119.94999694824219,121.68000030517578,119.6500015258789,120.94999694824219,816000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False
2018-11-08,120.41000366210938,122.7300033569336,120.41000366210938,122.72000122070312,541300.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-09,122.79000091552734,123.80999755859375,121.87000274658203,123.37999725341797,1124200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-12,123.41000366210938,124.01000213623047,122.16999816894531,122.25,1210500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-13,123.0,123.25,120.8499984741211,120.93000030517578,1291200.0,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-14,121.7300033569336,122.16000366210938,120.01000213623047,121.08999633789062,770800.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-15,120.47000122070312,124.2300033569336,120.47000122070312,123.87999725341797,1060400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-16,123.27999877929688,124.31999969482422,122.61000061035156,123.83000183105469,1069800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-19,123.4800033569336,124.5,122.27999877929688,122.5,1507400.0,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-11-20,122.06999969482422,122.54000091552734,120.12999725341797,120.2699966430664,879300.0,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
2018-11-21,121.62000274658203,121.79000091552734,119.95999908447266,120.13999938964844,920200.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-23,119.58999633789062,120.72000122070312,119.05999755859375,120.05999755859375,293200.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2018-11-26,121.18000030517578,122.0,120.19000244140625,120.94999694824219,792100.0,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False
2018-11-27,121.05000305175781,121.76000213623047,120.45999908447266,121.69000244140625,711100.0,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-11-28,121.83000183105469,124.3499984741211,121.83000183105469,123.80000305175781,872000.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-29,123.13999938964844,124.83000183105469,123.0,123.83000183105469,719400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-30,123.94000244140625,124.5,122.9000015258789,123.31999969482422,1194900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-03,123.48999786376953,124.69999694824219,121.94999694824219,124.69000244140625,1573400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-12-04,124.86000061035156,125.98999786376953,120.0,120.38999938964844,1190600.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2018-12-06,119.02999877929688,119.7300033569336,114.5999984741211,118.0,1458600.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
2018-12-07,117.25,118.30999755859375,113.9800033569336,114.44999694824219,832300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-10,114.72000122070312,115.52999877929688,112.80000305175781,114.37999725341797,1195100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-11,115.80999755859375,116.61000061035156,114.26000213623047,114.68000030517578,1026400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-12,116.0999984741211,117.7699966430664,115.76000213623047,116.18000030517578,1162400.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-13,115.91000366210938,116.6500015258789,114.73999786376953,115.45999908447266,741900.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-14,114.73999786376953,114.87000274658203,112.94999694824219,113.83000183105469,1166800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-17,113.83999633789062,113.83999633789062,110.37999725341797,111.05000305175781,1007500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-18,111.70999908447266,112.44999694824219,110.12999725341797,111.1500015258789,905100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-19,110.97000122070312,113.80000305175781,109.91000366210938,110.2300033569336,1181200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-20,110.11000061035156,110.86000061035156,107.58000183105469,108.47000122070312,861700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-21,108.41000366210938,109.87999725341797,105.94000244140625,106.01000213623047,1739200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-12-24,105.69999694824219,106.05000305175781,103.04000091552734,103.04000091552734,540200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-26,103.79000091552734,107.61000061035156,102.73999786376953,107.48999786376953,780200.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,106.19999694824219,109.16999816894531,104.95999908447266,109.16999816894531,776800.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-28,109.58000183105469,109.93000030517578,107.06999969482422,108.05999755859375,735000.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-31,108.55999755859375,109.05999755859375,107.8499984741211,109.04000091552734,654800.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2019-01-02,107.05000305175781,108.7300033569336,106.8499984741211,108.6500015258789,770500.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2019-01-03,107.4000015258789,108.7300033569336,104.91999816894531,105.33000183105469,1104800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019-01-04,106.9800033569336,110.3499984741211,106.45999908447266,109.9800033569336,811300.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2019-01-07,109.97000122070312,110.94000244140625,109.51000213623047,110.08999633789062,801700.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2019-01-08,110.22000122070312,111.16000366210938,109.12000274658203,111.06999969482422,668500.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-09,111.12000274658203,111.91999816894531,110.5,111.48999786376953,497200.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-10,111.16999816894531,112.86000061035156,110.81999969482422,112.63999938964844,724200.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-11,111.81999969482422,112.7699966430664,111.1500015258789,112.01000213623047,670400.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-14,111.37999725341797,112.25,111.05000305175781,111.18000030517578,638700.0,False,False,True,True,False,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-15,111.1500015258789,112.80999755859375,111.1500015258789,112.62000274658203,498300.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-16,112.47000122070312,113.19999694824219,112.05999755859375,112.9800033569336,564500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-17,112.66000366210938,113.83000183105469,112.31999969482422,113.16000366210938,613700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2019-01-18,114.08999633789062,115.76000213623047,113.62999725341797,115.69999694824219,578100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-22,114.8499984741211,116.4800033569336,114.8499984741211,116.30000305175781,1329800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False
2019-01-23,116.38999938964844,117.26000213623047,115.72000122070312,116.80999755859375,582100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-24,116.8499984741211,117.12000274658203,115.61000061035156,116.1500015258789,497800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-25,117.05000305175781,117.77999877929688,116.91000366210938,117.23999786376953,524000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-28,116.66000366210938,116.66000366210938,115.30999755859375,116.2300033569336,449300.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-29,116.41000366210938,117.05999755859375,115.23999786376953,116.2300033569336,372500.0,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-30,116.58000183105469,118.4800033569336,116.06999969482422,117.5,658300.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-31,117.4800033569336,117.62000274658203,116.2300033569336,117.41000366210938,1023100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2019-02-01,117.51000213623047,119.61000061035156,117.51000213623047,118.7699966430664,1031700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True
2019-02-04,118.61000061035156,119.5,117.62999725341797,119.3499984741211,494500.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-02-05,119.01000213623047,119.98999786376953,118.2300033569336,119.93000030517578,688200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
