Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,73.55999755859375,73.81999969482422,72.91000366210938,73.55999755859375,5194800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-10,73.55999755859375,74.22000122070312,72.30999755859375,72.30999755859375,8011200.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2018-10-11,69.75,74.37999725341797,69.69000244140625,70.9000015258789,15407000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
2018-10-12,71.44999694824219,73.76000213623047,70.43000030517578,73.5,9722500.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False
2018-10-15,73.08999633789062,75.3499984741211,73.0,74.72000122070312,8308500.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-16,75.18000030517578,76.44999694824219,74.37000274658203,76.27999877929688,7738900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False
2018-10-17,76.0999984741211,77.48999786376953,75.7300033569336,76.9800033569336,6256600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-10-18,77.05000305175781,77.63999938964844,76.29000091552734,76.58000183105469,5879800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-19,77.01000213623047,78.0,76.66999816894531,77.3499984741211,5934900.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-10-22,77.55999755859375,78.0999984741211,77.08000183105469,77.6500015258789,5715500.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-10-23,77.2699966430664,77.80000305175781,76.4000015258789,77.26000213623047,5094100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
