Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,48.81999969482422,49.29999923706055,48.70000076293945,49.0099983215332,3519600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-10-10,48.959999084472656,49.7400016784668,48.810001373291016,48.84000015258789,3044400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-11,48.959999084472656,49.11000061035156,47.4900016784668,47.619998931884766,4821700.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
2018-10-12,47.560001373291016,47.77000045776367,47.06999969482422,47.650001525878906,3559900.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-10-15,47.619998931884766,48.11000061035156,47.52000045776367,47.63999938964844,2683300.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-10-16,47.689998626708984,48.54999923706055,47.439998626708984,48.27000045776367,2943800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-17,48.34000015258789,48.439998626708984,47.95000076293945,48.2400016784668,2787000.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-18,48.400001525878906,48.529998779296875,48.0,48.34000015258789,2875000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-19,48.33000183105469,49.380001068115234,48.33000183105469,49.130001068115234,2748500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-22,49.25,49.2599983215332,48.709999084472656,48.869998931884766,2980000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-23,49.099998474121094,49.47999954223633,48.47999954223633,48.88999938964844,5230500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-10-24,49.130001068115234,50.529998779296875,48.90999984741211,50.2599983215332,4474700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-10-25,49.119998931884766,49.7400016784668,48.75,49.43000030517578,4033300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-26,49.72999954223633,49.95000076293945,48.11000061035156,48.5099983215332,4737800.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False
2018-10-29,48.709999084472656,49.54999923706055,48.459999084472656,49.40999984741211,4911400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-10-30,49.59000015258789,49.970001220703125,48.9900016784668,49.689998626708984,4216400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-31,49.5099983215332,49.68000030517578,48.630001068115234,49.0099983215332,3788400.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-01,49.06999969482422,49.06999969482422,48.13999938964844,48.470001220703125,4392500.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-02,48.2400016784668,48.61000061035156,47.439998626708984,47.720001220703125,5610000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2018-11-05,47.849998474121094,48.650001525878906,47.81999969482422,48.400001525878906,3379300.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-06,48.40999984741211,49.2400016784668,48.36000061035156,49.13999938964844,2571600.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-11-07,49.5,49.709999084472656,49.099998474121094,49.5,5141900.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-11-08,48.689998626708984,49.349998474121094,48.54999923706055,49.33000183105469,10503100.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True
2018-11-09,49.369998931884766,50.41999816894531,49.290000915527344,50.34000015258789,9454700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-11-12,50.18000030517578,51.58000183105469,50.099998474121094,51.11000061035156,6129200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-13,51.15999984741211,51.529998779296875,50.720001220703125,51.380001068115234,4129400.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-14,51.20000076293945,51.47999954223633,50.84000015258789,51.15999984741211,5545000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-15,51.060001373291016,51.61000061035156,50.5099983215332,51.369998931884766,6645700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True
2018-11-16,51.9900016784668,52.2400016784668,51.029998779296875,51.060001373291016,14212400.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2018-11-19,51.02000045776367,51.63999938964844,50.86000061035156,51.619998931884766,5332100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-20,52.0,52.459999084472656,51.369998931884766,51.810001373291016,5892000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-21,51.65999984741211,51.65999984741211,50.560001373291016,50.75,4026500.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-23,50.7400016784668,50.91999816894531,50.52000045776367,50.86000061035156,1270100.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-26,50.97999954223633,51.25,50.4900016784668,51.099998474121094,4587200.0,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-27,51.13999938964844,51.7599983215332,50.790000915527344,51.7400016784668,2920600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-28,51.65999984741211,51.959999084472656,51.38999938964844,51.560001373291016,4555000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-29,51.560001373291016,51.61000061035156,50.81999969482422,51.529998779296875,3162800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-30,51.650001525878906,52.4900016784668,51.52000045776367,52.45000076293945,4589000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
