Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,36.29999923706055,36.38999938964844,33.40999984741211,33.54999923706055,19662600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-10,33.33000183105469,33.400001525878906,31.59000015258789,31.610000610351562,20539000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-11,32.29999923706055,32.75,30.75,31.270000457763672,17115800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-12,31.969999313354492,32.130001068115234,30.809999465942383,30.90999984741211,12905200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-15,31.0,32.2400016784668,30.81999969482422,31.780000686645508,11092500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,32.060001373291016,33.439998626708984,31.979999542236328,33.279998779296875,11339200.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,34.45000076293945,35.400001525878906,33.529998779296875,33.56999969482422,15068600.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-18,33.58000183105469,33.7599983215332,31.8700008392334,32.060001373291016,12778300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,32.09000015258789,32.650001525878906,31.809999465942383,32.040000915527344,10445200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,32.27000045776367,32.52000045776367,31.81999969482422,32.15999984741211,7572100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,31.530000686645508,32.439998626708984,30.600000381469727,32.380001068115234,12468300.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,32.47999954223633,32.75,30.239999771118164,30.34000015258789,15348200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-25,31.190000534057617,33.33000183105469,31.1200008392334,32.369998931884766,18375200.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True
2018-10-26,31.399999618530273,33.0099983215332,31.299999237060547,32.459999084472656,11438600.0,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-10-29,33.13999938964844,33.9900016784668,31.950000762939453,32.599998474121094,9405500.0,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-10-30,32.439998626708984,34.779998779296875,32.33000183105469,34.65999984741211,13067600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-31,35.15999984741211,35.900001525878906,34.810001373291016,35.08000183105469,11132800.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-01,35.29999923706055,36.470001220703125,35.06999969482422,36.369998931884766,9643200.0,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False
2018-11-02,36.59000015258789,37.459999084472656,35.63999938964844,36.33000183105469,10039100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-05,36.349998474121094,36.52000045776367,35.130001068115234,35.720001220703125,11305300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-06,35.599998474121094,35.959999084472656,34.84000015258789,35.16999816894531,11376700.0,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-07,35.56999969482422,37.38999938964844,35.47999954223633,36.970001220703125,10904000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-08,36.77000045776367,37.04999923706055,35.970001220703125,36.86000061035156,6884800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,36.70000076293945,37.2599983215332,36.029998779296875,36.220001220703125,6794400.0,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,36.310001373291016,37.29999923706055,35.779998779296875,36.86000061035156,9360800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-13,37.150001525878906,38.41999816894531,37.099998474121094,37.779998779296875,9694100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-14,38.0,38.59000015258789,37.45000076293945,38.11000061035156,7288400.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-15,37.869998931884766,38.15999984741211,36.310001373291016,37.81999969482422,8296700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-16,37.400001525878906,37.529998779296875,36.5,36.75,10645700.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True
2018-11-19,36.7599983215332,37.08000183105469,35.310001373291016,35.81999969482422,9421000.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-20,35.04999923706055,36.38999938964844,34.86000061035156,35.59000015258789,7059600.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-21,36.09000015258789,37.5099983215332,35.970001220703125,36.310001373291016,8701500.0,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-23,36.65999984741211,38.27000045776367,36.65999984741211,37.95000076293945,6121300.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-26,38.29999923706055,38.619998931884766,37.70000076293945,38.099998474121094,9203100.0,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-27,38.209999084472656,38.77000045776367,37.810001373291016,38.290000915527344,8143000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-28,38.59000015258789,38.970001220703125,37.779998779296875,38.939998626708984,6673800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-29,38.79999923706055,39.34000015258789,38.400001525878906,38.41999816894531,5178100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-30,38.41999816894531,40.20000076293945,38.41999816894531,40.15999984741211,10015700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-12-03,40.56999969482422,40.58000183105469,39.13999938964844,39.650001525878906,6578000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-04,38.81999969482422,39.209999084472656,36.66999816894531,36.689998626708984,12315100.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
2018-12-06,36.0,37.099998474121094,35.790000915527344,36.939998626708984,9378900.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-07,36.58000183105469,36.599998474121094,33.380001068115234,33.56999969482422,14380100.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
2018-12-10,33.66999816894531,34.16999816894531,32.61000061035156,33.84000015258789,8569100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-11,34.36000061035156,34.810001373291016,33.61000061035156,34.099998474121094,8055400.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-12,34.54999923706055,34.790000915527344,34.09000015258789,34.349998474121094,7630500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-13,34.29999923706055,34.689998626708984,32.380001068115234,32.459999084472656,10279700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-14,32.27000045776367,33.27000045776367,32.08000183105469,32.40999984741211,8558600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-17,32.29999923706055,32.86000061035156,31.700000762939453,32.040000915527344,7638100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-18,32.470001220703125,33.650001525878906,32.470001220703125,33.540000915527344,9117600.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-19,33.459999084472656,33.97999954223633,32.22999954223633,32.41999816894531,8120500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-20,32.34000015258789,32.68000030517578,30.950000762939453,31.889999389648438,9439600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-21,31.950000762939453,32.650001525878906,30.649999618530273,30.780000686645508,11800600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-12-24,30.510000228881836,30.920000076293945,29.670000076293945,29.719999313354492,5902000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-26,30.1200008392334,32.33000183105469,29.59000015258789,32.290000915527344,8621300.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,31.709999084472656,32.04999923706055,30.8700008392334,32.040000915527344,7751300.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-28,32.16999816894531,32.599998474121094,31.510000228881836,31.829999923706055,6379400.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-31,32.09000015258789,32.619998931884766,31.68000030517578,32.11000061035156,5334700.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2019-01-02,31.459999084472656,32.650001525878906,31.049999237060547,32.47999954223633,5229500.0,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2019-01-03,31.690000534057617,31.850000381469727,28.809999465942383,30.059999465942383,16822000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
