Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,1901.0,1915.6600341796875,1869.2099609375,1870.5,327800,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-10,1865.0,1865.739990234375,1785.4599609375,1788.739990234375,635300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-11,1779.6199951171875,1808.02001953125,1757.1600341796875,1781.7099609375,613000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-12,1814.8699951171875,1829.050048828125,1791.780029296875,1807.1700439453125,698600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-15,1803.5799560546875,1826.25,1790.02001953125,1811.3299560546875,407100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,1825.0,1835.6400146484375,1819.9000244140625,1830.27001953125,359400,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,1834.4000244140625,1858.2900390625,1823.5,1850.510009765625,326600,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,1853.1099853515625,1859.0,1808.0899658203125,1811.7099609375,351800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,1817.2900390625,1836.02001953125,1796.0,1805.739990234375,262100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,1810.8800048828125,1851.1199951171875,1807.3699951171875,1827.2900390625,269200,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,1787.0400390625,1841.52001953125,1785.6700439453125,1830.0,404800,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-24,1828.2099609375,1847.2099609375,1745.6300048828125,1753.5799560546875,533500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-25,1770.7900390625,1814.6800537109375,1760.010009765625,1804.530029296875,470400,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
