Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,113.97000122070312,114.98999786376953,113.08000183105469,113.56999969482422,1234700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,113.69000244140625,113.87000274658203,110.08999633789062,110.18000030517578,1480500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-11,109.7300033569336,112.06999969482422,109.4000015258789,110.2699966430664,1337900,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-12,111.36000061035156,112.26000213623047,110.30999755859375,111.52999877929688,1512800,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-15,111.13999938964844,112.2300033569336,110.05999755859375,111.11000061035156,950700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,112.4000015258789,113.72000122070312,111.54000091552734,113.30000305175781,1543500,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,113.12000274658203,113.12000274658203,110.86000061035156,112.08000183105469,1260600,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,111.38999938964844,112.37999725341797,110.23999786376953,110.77999877929688,1071600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,112.05999755859375,113.02999877929688,110.26000213623047,110.2699966430664,1037100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,111.01000213623047,113.44000244140625,110.33000183105469,112.44999694824219,1342700,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,111.11000061035156,113.7699966430664,110.51000213623047,113.1500015258789,2063300,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,True
2018-10-24,113.1500015258789,114.44999694824219,108.16000366210938,108.33000183105469,2569500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-25,108.29000091552734,110.08000183105469,108.0,109.2300033569336,1613200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,106.11000061035156,109.55000305175781,106.0,108.37000274658203,1215500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-29,109.31999969482422,110.4000015258789,105.12000274658203,106.83999633789062,1308100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,106.94000244140625,107.94999694824219,105.43000030517578,107.26000213623047,1266400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,108.55000305175781,111.27999877929688,107.9000015258789,111.0,1693700,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-11-01,111.01000213623047,111.72000122070312,109.33999633789062,111.37999725341797,834600,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,111.91000366210938,112.41999816894531,109.66999816894531,111.0,912600,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2018-11-05,111.05000305175781,112.1500015258789,110.51000213623047,111.63999938964844,753300,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,111.20999908447266,112.7699966430664,111.0,111.83999633789062,994500,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-07,112.97000122070312,113.47000122070312,112.16999816894531,112.8499984741211,1225100,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-11-08,112.36000061035156,113.18000030517578,111.06999969482422,111.61000061035156,951900,False,False,True,True,False,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-09,110.76000213623047,112.7300033569336,109.01000213623047,112.63999938964844,1166700,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-12,111.87000274658203,112.05999755859375,110.66000366210938,110.77999877929688,763700,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-13,111.37000274658203,112.4000015258789,110.02999877929688,110.93000030517578,890300,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2018-11-14,111.5,112.77999877929688,110.79000091552734,111.29000091552734,861000,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False
2018-11-15,110.69999694824219,113.73999786376953,110.2300033569336,113.54000091552734,977800,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-16,113.0999984741211,114.4000015258789,112.23999786376953,114.33999633789062,713200,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-19,113.80000305175781,113.88999938964844,110.91999816894531,111.41999816894531,854400,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-20,110.37999725341797,110.9800033569336,106.3499984741211,107.12000274658203,1951800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-11-21,108.13999938964844,109.0,107.27999877929688,107.98999786376953,871100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,106.79000091552734,109.9000015258789,106.62000274658203,109.13999938964844,489900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-26,110.0,110.36000061035156,108.94000244140625,110.19999694824219,664300,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-27,109.97000122070312,109.98999786376953,107.62000274658203,107.8499984741211,913500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-11-28,108.33999633789062,111.47000122070312,108.2300033569336,111.1500015258789,1338000,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True
2018-11-29,111.12000274658203,111.2300033569336,109.5,110.37999725341797,930400,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-11-30,110.63999938964844,111.98999786376953,110.33999633789062,111.80999755859375,1050400,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-12-03,112.77999877929688,113.16000366210938,111.79000091552734,112.47000122070312,942400,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-12-04,112.0,112.79000091552734,110.01000213623047,110.20999908447266,856300,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-12-06,108.54000091552734,110.1500015258789,108.3499984741211,109.98999786376953,1489800,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2018-12-07,109.69999694824219,109.7699966430664,105.77999877929688,106.27999877929688,1423300,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2018-12-10,106.02999877929688,109.55999755859375,105.66999816894531,109.12999725341797,1306400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-11,109.81999969482422,111.0999984741211,108.5999984741211,108.83999633789062,937100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-12,110.0,110.47000122070312,108.36000061035156,108.73999786376953,883100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-13,109.47000122070312,110.0,107.91000366210938,108.44000244140625,816000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-14,107.30999755859375,109.29000091552734,106.91000366210938,107.41999816894531,761500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-17,107.12999725341797,107.43000030517578,103.61000061035156,104.13999938964844,822500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-18,105.27999877929688,105.73999786376953,103.7300033569336,104.55000305175781,762000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-19,104.76000213623047,106.93000030517578,103.37000274658203,104.36000061035156,977600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-20,104.2300033569336,104.7300033569336,101.31999969482422,103.12999725341797,1112500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-12-21,103.52999877929688,104.26000213623047,99.7300033569336,100.04000091552734,1483900,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-12-24,99.20999908447266,100.8499984741211,98.56999969482422,99.5999984741211,534400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-26,99.94000244140625,103.08000183105469,99.12000274658203,102.9800033569336,748800,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,101.72000122070312,103.4800033569336,100.58999633789062,103.47000122070312,545200,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-28,103.55999755859375,104.05999755859375,101.79000091552734,102.91000366210938,456000,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-31,103.5199966430664,104.0,102.08999633789062,102.6500015258789,438200,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-01-02,101.04000091552734,103.7300033569336,100.62999725341797,103.5,940500,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2019-01-03,101.83999633789062,104.26000213623047,101.79000091552734,102.3499984741211,959900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019-01-04,103.83000183105469,105.5199966430664,103.62000274658203,105.3499984741211,1136100,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True
2019-01-07,104.87999725341797,105.44000244140625,103.54000091552734,104.87000274658203,1216300,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True
2019-01-08,105.25,107.62000274658203,105.08000183105469,107.56999969482422,859400,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-09,107.97000122070312,109.83000183105469,107.1500015258789,107.5,1410900,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2019-01-10,107.37999725341797,108.58999633789062,106.88999938964844,107.81999969482422,889200,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-11,107.13999938964844,108.2699966430664,104.70999908447266,105.38999938964844,1329800,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False
2019-01-14,104.83000183105469,105.20999908447266,103.45999908447266,104.30000305175781,1078300,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2019-01-15,104.2300033569336,107.0,104.05999755859375,105.9000015258789,947300,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-16,106.12999725341797,106.47000122070312,104.22000122070312,104.43000030517578,994000,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2019-01-17,104.45999908447266,106.5,104.44000244140625,105.94999694824219,859900,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-18,106.62999725341797,107.62000274658203,105.41999816894531,106.83999633789062,962800,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-22,106.5,107.69000244140625,105.87999725341797,106.66000366210938,834700,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-23,106.56999969482422,108.18000030517578,105.95999908447266,107.4000015258789,1107400,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-24,107.56999969482422,107.9000015258789,106.43000030517578,107.3499984741211,521800,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-25,108.05000305175781,108.69000244140625,107.47000122070312,107.98999786376953,694400,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-28,107.33999633789062,110.3499984741211,107.33999633789062,109.63999938964844,1645300,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True
2019-01-29,109.4800033569336,110.9800033569336,108.72000122070312,110.76000213623047,1652600,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2019-01-30,111.0,112.73999786376953,108.5199966430664,110.93000030517578,1851600,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False
2019-01-31,110.18000030517578,112.58999633789062,110.18000030517578,111.91999816894531,1373300,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
