Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,35.279998779296875,35.83000183105469,34.9900016784668,35.439998626708984,17407000.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,35.369998931884766,35.650001525878906,34.22999954223633,34.279998779296875,25754000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-11,34.599998474121094,34.689998626708984,33.5099983215332,33.66999816894531,36284000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-12,34.04999923706055,34.790000915527344,33.88999938964844,34.619998931884766,31439300.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,34.61000061035156,35.66999816894531,34.5099983215332,35.09000015258789,22877300.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-16,35.220001220703125,36.099998474121094,35.20000076293945,36.0,26282200.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-17,36.119998931884766,36.66999816894531,35.790000915527344,36.400001525878906,20386600.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-18,36.279998779296875,36.63999938964844,35.81999969482422,35.939998626708984,27905800.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-19,36.119998931884766,36.5099983215332,35.779998779296875,35.97999954223633,24405300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-22,36.099998474121094,36.25,35.59000015258789,35.75,24301900.0,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-23,35.40999984741211,35.790000915527344,35.04999923706055,35.650001525878906,20100200.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-24,35.97999954223633,36.2599983215332,34.04999923706055,34.119998931884766,29974900.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-25,35.880001068115234,36.279998779296875,35.04999923706055,35.84000015258789,33839600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-10-26,35.63999938964844,36.41999816894531,34.91999816894531,35.2400016784668,42435100.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2018-10-29,35.91999816894531,36.52000045776367,35.41999816894531,35.9900016784668,32373500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-30,36.4900016784668,37.77000045776367,36.119998931884766,37.709999084472656,36610600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False
2018-10-31,37.959999084472656,38.650001525878906,37.31999969482422,38.13999938964844,28182000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-01,38.099998474121094,38.16999816894531,37.65999984741211,37.95000076293945,23797500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-02,38.09000015258789,38.22999954223633,37.0099983215332,37.65999984741211,24593400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-05,37.939998626708984,38.349998474121094,37.849998474121094,38.02000045776367,18780000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-06,38.11000061035156,38.189998626708984,37.529998779296875,37.72999954223633,19682900.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-07,37.970001220703125,38.34000015258789,37.63999938964844,38.29999923706055,21551900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-08,38.4900016784668,38.58000183105469,37.90999984741211,38.29999923706055,14327200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,38.15999984741211,38.709999084472656,37.95000076293945,38.34000015258789,17819200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,38.25,38.58000183105469,37.56999969482422,38.0,17042200.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-13,38.25,38.4900016784668,37.5099983215332,37.720001220703125,17569500.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-14,38.0099983215332,38.68000030517578,37.77000045776367,38.290000915527344,23447600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-15,38.11000061035156,38.4900016784668,37.81999969482422,38.4900016784668,20772100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-16,38.709999084472656,38.91999816894531,38.310001373291016,38.59000015258789,21542400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-19,38.59000015258789,38.90999984741211,37.9900016784668,38.18000030517578,19265800.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-20,38.15999984741211,38.47999954223633,36.61000061035156,36.7599983215332,29276600.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2018-11-21,36.70000076293945,37.72999954223633,36.65999984741211,37.5099983215332,16525400.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2018-11-23,37.2599983215332,37.709999084472656,37.20000076293945,37.38999938964844,5743900.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-26,37.779998779296875,37.9900016784668,37.439998626708984,37.77000045776367,13283800.0,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False
2018-11-27,37.619998931884766,38.45000076293945,37.619998931884766,38.36000061035156,13718500.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
2018-11-28,38.22999954223633,39.06999969482422,38.189998626708984,39.060001373291016,17816000.0,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True
