Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,122.12999725341797,123.43000030517578,121.13999938964844,121.36000061035156,1306800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,121.02999877929688,121.30000305175781,116.69999694824219,116.76000213623047,1902400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,117.12999725341797,118.47000122070312,114.23999786376953,115.69000244140625,2086600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,118.86000061035156,119.69000244140625,115.86000061035156,118.55999755859375,1619500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-15,118.2300033569336,119.61000061035156,116.44999694824219,118.55000305175781,1314900.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,118.83000183105469,122.0999984741211,118.55999755859375,121.91000366210938,1639700.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,121.45999908447266,121.58000183105469,118.87000274658203,120.55000305175781,1728500.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-18,119.81999969482422,120.5,117.55999755859375,118.44000244140625,1792600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,119.16999816894531,119.58000183105469,117.33000183105469,118.31999969482422,1499400.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,119.16999816894531,119.93000030517578,117.41999816894531,118.5,1279800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,116.05999755859375,117.52999877929688,113.69000244140625,117.20999908447266,2195600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,118.0,119.38999938964844,113.87000274658203,114.22000122070312,2923900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-25,115.31999969482422,119.0999984741211,113.8499984741211,117.56999969482422,4111600.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-26,122.66000366210938,125.44000244140625,118.54000091552734,120.5,5645300.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,True
2018-10-29,122.22000122070312,125.44999694824219,119.22000122070312,121.7300033569336,2884800.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-30,121.27999877929688,125.02999877929688,120.1500015258789,124.48999786376953,2452400.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-31,125.87000274658203,126.7300033569336,125.1500015258789,125.43000030517578,2391600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-01,125.66000366210938,127.86000061035156,124.56999969482422,127.62000274658203,1912500.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-02,128.27999877929688,128.85000610351562,125.41000366210938,126.51000213623047,1612300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-05,126.58999633789062,127.5999984741211,125.04000091552734,126.88999938964844,1750600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-06,126.22000122070312,127.88999938964844,124.61000061035156,125.02999877929688,2118300.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-07,126.52999877929688,128.67999267578125,126.30999755859375,128.3800048828125,1839800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-08,128.25,128.69000244140625,124.72000122070312,125.43000030517578,1678500.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,124.94999694824219,125.97000122070312,123.80999755859375,124.04000091552734,1676200.0,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
2018-11-12,123.87000274658203,124.26000213623047,121.83999633789062,122.25,1562500.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-11-13,122.97000122070312,124.3499984741211,121.4800033569336,122.37999725341797,1210200.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-14,123.01000213623047,125.18000030517578,121.41000366210938,121.93000030517578,1598000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-11-15,121.01000213623047,121.94000244140625,117.88999938964844,119.75,2799600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-11-16,118.6500015258789,120.98999786376953,115.55999755859375,116.94999694824219,2373200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-19,117.2300033569336,117.38999938964844,112.54000091552734,113.0999984741211,2037500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-11-20,111.05000305175781,112.87000274658203,110.26000213623047,111.62000274658203,1983800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-11-21,112.47000122070312,114.93000030517578,112.47000122070312,113.08999633789062,1421200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
