Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,100.55000305175781,101.58999633789062,100.16999816894531,100.69999694824219,621400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-10,100.54000091552734,100.54000091552734,98.33999633789062,98.37000274658203,1584800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,98.02999877929688,99.55999755859375,97.66000366210938,97.80999755859375,1240700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-12,98.54000091552734,99.7300033569336,96.87000274658203,98.30999755859375,945200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-15,97.88999938964844,99.12000274658203,97.30999755859375,98.80999755859375,846100.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,99.41000366210938,102.06999969482422,98.95999908447266,101.91000366210938,1004900.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-17,101.51000213623047,101.91000366210938,100.0999984741211,100.88999938964844,659600.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,100.12999725341797,100.69000244140625,97.97000122070312,98.48999786376953,1024800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,99.12000274658203,100.19000244140625,95.69000244140625,98.04000091552734,3348500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-22,90.44000244140625,95.75,90.2699966430664,95.01000213623047,7593800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-23,93.5,94.29000091552734,90.5,94.05999755859375,3557100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-24,93.58999633789062,94.33000183105469,91.9800033569336,92.05000305175781,1862500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-25,92.29000091552734,93.83000183105469,91.94000244140625,93.5,1417000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-26,91.44000244140625,94.08999633789062,91.0,92.70999908447266,1544100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-29,93.66000366210938,94.33000183105469,91.2699966430664,92.02999877929688,1373000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,92.0999984741211,93.5,91.25,91.83999633789062,1344000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-31,91.86000061035156,93.20999908447266,89.88999938964844,91.70999908447266,2712800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-01,92.05000305175781,97.56999969482422,92.05000305175781,97.55000305175781,2048100.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-02,97.87000274658203,99.37000274658203,97.2300033569336,98.29000091552734,1468200.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,98.30999755859375,99.0,96.83000183105469,97.87000274658203,1185500.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,97.5199966430664,98.94000244140625,97.5199966430664,98.83000183105469,662100.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-07,98.94000244140625,100.8499984741211,98.80000305175781,100.4000015258789,973100.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-08,100.1500015258789,100.81999969482422,98.25,98.4000015258789,1044700.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-09,98.20999908447266,98.93000030517578,96.69999694824219,97.31999969482422,1109700.0,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False
2018-11-12,97.08999633789062,97.19000244140625,95.58000183105469,95.66000366210938,845800.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-13,96.0,97.25,95.30999755859375,95.55999755859375,674500.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-14,96.20999908447266,97.9000015258789,95.7699966430664,96.69000244140625,854600.0,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2018-11-15,95.93000030517578,98.08999633789062,95.16999816894531,97.55999755859375,1109700.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-11-16,97.0,97.98999786376953,96.68000030517578,97.70999908447266,1201100.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-11-19,97.75,98.04000091552734,94.51000213623047,94.88999938964844,1274100.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2018-11-20,94.31999969482422,95.04000091552734,93.4800033569336,93.95999908447266,1048500.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-21,94.36000061035156,95.44999694824219,93.93000030517578,94.19999694824219,662800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
