Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,57.29999923706055,57.47999954223633,55.59000015258789,56.06999969482422,8535700.0,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True
2018-10-10,55.810001373291016,57.029998779296875,55.72999954223633,55.7400016784668,7799600.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-11,55.970001220703125,56.22999954223633,53.56999969482422,53.81999969482422,9593800.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-12,53.939998626708984,54.43000030517578,53.029998779296875,54.2400016784668,9452500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-15,54.04999923706055,54.959999084472656,54.04999923706055,54.470001220703125,4829800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,54.709999084472656,55.65999984741211,54.4900016784668,55.439998626708984,4813700.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-17,55.40999984741211,57.02000045776367,55.29999923706055,56.400001525878906,7094000.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-18,56.40999984741211,56.91999816894531,55.43000030517578,55.540000915527344,6075400.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-10-19,56.150001525878906,57.755001068115234,56.099998474121094,57.560001373291016,8880700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False
2018-10-22,57.65999984741211,58.08000183105469,56.09000015258789,56.209999084472656,7390000.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-23,56.20000076293945,56.861000061035156,55.529998779296875,56.599998474121094,6429000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-24,56.41999816894531,57.380001068115234,55.70500183105469,55.779998779296875,5833800.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-10-25,55.7599983215332,56.540000915527344,55.34000015258789,55.97999954223633,5712800.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-10-26,55.5099983215332,55.58000183105469,54.29999923706055,54.650001525878906,6480000.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-29,55.16999816894531,56.11000061035156,54.720001220703125,55.52000045776367,6301400.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-10-30,55.619998931884766,56.43000030517578,55.33000183105469,55.849998474121094,6015500.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-31,55.5,55.54499816894531,53.77000045776367,54.970001220703125,8888100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-01,55.130001068115234,56.5,54.61000061035156,56.20000076293945,7427700.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,52.25,52.52000045776367,50.4109992980957,50.72999954223633,22310600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-11-05,51.06999969482422,53.0,51.040000915527344,52.38999938964844,10481500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-06,52.77000045776367,53.720001220703125,52.43000030517578,53.459999084472656,6724000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-07,53.849998474121094,54.029998779296875,52.900001525878906,53.54999923706055,5379400.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-08,53.25,53.599998474121094,52.939998626708984,53.310001373291016,5031800.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-09,53.36000061035156,54.14500045776367,53.06999969482422,53.9900016784668,5712700.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-12,54.029998779296875,54.869998931884766,53.5099983215332,53.66999816894531,5540900.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-13,53.75,54.27000045776367,52.97999954223633,53.380001068115234,5511400.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-14,53.43000030517578,53.560001373291016,52.16999816894531,52.63999938964844,5601600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-15,52.0,52.27000045776367,51.45000076293945,51.9900016784668,6902900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-11-16,52.0099983215332,52.900001525878906,51.77000045776367,52.08000183105469,11005000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-11-19,51.970001220703125,52.7400016784668,51.72999954223633,51.88999938964844,6378100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-20,52.04999923706055,52.3650016784668,50.709999084472656,50.939998626708984,5967000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-11-21,51.029998779296875,51.47999954223633,50.720001220703125,51.15999984741211,4154900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,51.029998779296875,51.5,50.83000183105469,51.040000915527344,2018700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-26,51.560001373291016,51.720001220703125,50.95000076293945,51.06999969482422,4527200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-27,50.93000030517578,51.85499954223633,50.584999084472656,51.79999923706055,5269200.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True
