Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,149.83999633789062,153.4499969482422,149.0,150.25,1592400,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-10,149.1699981689453,149.55999755859375,140.39999389648438,140.67999267578125,2542600,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,139.2899932861328,144.91000366210938,137.67999267578125,140.50999450683594,2169500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-12,145.52999877929688,146.89999389648438,141.07000732421875,143.7100067138672,3529000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-15,146.7899932861328,146.97999572753906,142.86000061035156,144.4600067138672,1626400,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,145.55999755859375,147.22000122070312,142.97000122070312,146.8300018310547,1859900,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,146.97999572753906,147.77000427246094,142.75,143.57000732421875,1286700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,143.08999633789062,145.64999389648438,140.9199981689453,142.67999267578125,1748000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,143.47999572753906,144.10000610351562,136.52999877929688,136.77000427246094,2090700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-22,136.47000122070312,140.89999389648438,136.02000427246094,139.9499969482422,1979300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,137.2100067138672,137.72000122070312,133.1300048828125,137.42999267578125,2004300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,140.8000030517578,140.97000122070312,134.16000366210938,134.2899932861328,1771100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-25,134.30999755859375,138.58999633789062,134.0,137.22000122070312,1664900,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,134.49000549316406,136.6699981689453,133.13999938964844,134.82000732421875,1712400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-29,136.69000244140625,139.14999389648438,133.9499969482422,135.8800048828125,1726800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-30,135.36000061035156,142.6300048828125,135.1199951171875,142.1300048828125,2120700,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True
2018-10-31,143.75,146.60000610351562,140.66000366210938,140.72999572753906,2360600,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True
2018-11-01,141.66000366210938,144.64999389648438,138.97000122070312,144.1699981689453,1665000,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,145.3699951171875,145.4499969482422,140.0399932861328,142.02000427246094,1499300,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2018-11-05,143.27999877929688,143.83999633789062,139.14999389648438,142.1999969482422,1515100,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2018-11-06,141.8300018310547,143.60000610351562,139.9199981689453,141.1300048828125,1402400,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False
2018-11-07,141.77000427246094,144.55999755859375,139.67999267578125,143.22999572753906,1706400,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-08,143.27000427246094,143.7899932861328,140.11000061035156,142.27000427246094,1516300,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False
