Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,67.30000305175781,67.87000274658203,66.26000213623047,67.37999725341797,6901800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-10,66.37999725341797,66.6500015258789,65.12999725341797,66.44000244140625,9724900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-11,67.33000183105469,69.37000274658203,66.5199966430664,67.69999694824219,7741500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-12,69.83000183105469,70.22000122070312,67.27999877929688,68.26000213623047,5408500.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-15,67.73999786376953,68.70999908447266,67.11000061035156,68.22000122070312,4233600.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,69.0199966430664,69.58000183105469,68.30999755859375,69.1500015258789,3127400.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,69.55999755859375,69.77999877929688,68.4000015258789,69.05000305175781,3295100.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,68.6500015258789,68.69999694824219,67.1500015258789,67.55000305175781,4272300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-19,67.45999908447266,68.69999694824219,66.83999633789062,67.02999877929688,3224800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-22,67.7300033569336,68.0,66.51000213623047,66.83000183105469,2942800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-23,65.43000030517578,67.5999984741211,64.69999694824219,67.22000122070312,5205000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-24,65.87999725341797,66.48999786376953,61.27000045776367,61.29999923706055,6850600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-25,62.209999084472656,64.26000213623047,62.11000061035156,62.5099983215332,8503600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-26,60.869998931884766,63.45000076293945,60.70000076293945,62.369998931884766,8242900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-29,63.68000030517578,64.58999633789062,61.22999954223633,62.290000915527344,3741200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,62.43000030517578,64.94999694824219,62.0099983215332,64.8499984741211,3277000.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,66.0,66.26000213623047,65.08000183105469,65.77999877929688,4967900.0,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-11-01,66.25,70.97000122070312,65.66999816894531,70.37000274658203,5573300.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2018-11-02,71.0,71.0,68.51000213623047,69.73999786376953,3506200.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,69.4800033569336,69.81999969482422,67.80000305175781,69.33000183105469,2993000.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,68.87000274658203,70.37999725341797,68.7699966430664,70.02999877929688,2144500.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-07,70.61000061035156,70.9800033569336,69.05999755859375,70.30000305175781,3336700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
