Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,81.80999755859375,82.5,80.69999694824219,80.9800033569336,3237600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-10,80.0,80.0,77.69999694824219,78.16000366210938,7068300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-11,78.72000122070312,80.16999816894531,76.63999938964844,77.29000091552734,7109600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-12,80.01000213623047,80.5,77.3499984741211,78.55999755859375,5817300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-15,78.44000244140625,78.9000015258789,77.83999633789062,77.88999938964844,2977600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,78.87000274658203,81.26000213623047,78.5,81.19000244140625,5462800.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,81.86000061035156,81.9800033569336,79.63999938964844,79.87000274658203,4110500.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,79.5999984741211,79.9800033569336,77.45999908447266,77.69999694824219,4918800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,78.66999816894531,79.38999938964844,76.26000213623047,77.69999694824219,5204800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-22,78.5199966430664,79.0,76.37000274658203,76.4800033569336,4223000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-23,75.0,78.68000030517578,74.0199966430664,77.72000122070312,6462700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-24,75.2300033569336,75.55999755859375,71.02999877929688,71.2300033569336,9901300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-25,72.0999984741211,74.19999694824219,71.41000366210938,73.75,7015000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,72.77999877929688,73.04000091552734,70.25,70.94999694824219,6515300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-29,73.1500015258789,74.30000305175781,69.72000122070312,70.72000122070312,6699800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,70.30000305175781,75.69999694824219,70.16000366210938,75.48999786376953,6276100.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-31,76.31999969482422,76.61000061035156,74.05999755859375,74.98999786376953,6109100.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-11-01,80.91999816894531,85.91999816894531,79.97000122070312,84.08999633789062,19551300.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-11-02,84.5,85.19999694824219,82.69000244140625,84.08000183105469,12556100.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-11-05,83.7300033569336,83.86000061035156,81.43000030517578,82.86000061035156,4253500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-06,82.80000305175781,84.58999633789062,82.66000366210938,84.54000091552734,3643700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-07,85.13999938964844,85.62000274658203,83.75,85.44999694824219,3734900.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-08,84.62000274658203,86.31999969482422,84.4000015258789,84.62000274658203,4054500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,83.80999755859375,84.06999969482422,81.83000183105469,83.69000244140625,3508000.0,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,82.16000366210938,82.5,79.20999908447266,79.27999877929688,4321900.0,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-13,80.0,83.12999725341797,79.5,81.75,3269600.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False
