Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,68.26000213623047,68.36000061035156,66.27999877929688,66.36000061035156,1501200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-10-10,66.30999755859375,66.44999694824219,63.790000915527344,63.849998474121094,2279800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,63.709999084472656,64.69000244140625,62.470001220703125,62.849998474121094,2767400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,63.77000045776367,63.880001068115234,61.290000915527344,62.130001068115234,2761000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-15,61.849998474121094,62.66999816894531,61.790000915527344,62.09000015258789,1996600.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-16,62.650001525878906,63.09000015258789,61.72999954223633,62.939998626708984,1753200.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-17,62.86000061035156,62.970001220703125,61.16999816894531,61.7400016784668,1515400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-18,61.58000183105469,61.72999954223633,59.650001525878906,60.34000015258789,2492300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-19,60.09000015258789,60.970001220703125,59.90999984741211,60.22999954223633,2555500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2018-10-22,60.290000915527344,61.220001220703125,60.08000183105469,60.5,4610700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-23,58.0,59.04999923706055,54.7599983215332,57.400001525878906,5495200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-24,57.529998779296875,57.58000183105469,54.90999984741211,54.95000076293945,4411700.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-25,55.58000183105469,56.290000915527344,54.779998779296875,55.220001220703125,2871300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-26,54.08000183105469,56.0,53.95000076293945,55.29999923706055,2658300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-29,56.20000076293945,57.25,54.869998931884766,55.810001373291016,2576800.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,56.04999923706055,57.439998626708984,55.599998474121094,56.47999954223633,4082200.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-31,57.11000061035156,57.68000030517578,56.68000030517578,57.209999084472656,3324800.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-01,57.54999923706055,59.5099983215332,57.529998779296875,59.13999938964844,2321100.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-11-02,59.459999084472656,59.75,57.7599983215332,58.29999923706055,2170600.0,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-11-05,58.650001525878906,58.95000076293945,57.88999938964844,58.459999084472656,1649500.0,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-11-06,58.5099983215332,59.5,58.31999969482422,59.36000061035156,1427100.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False
2018-11-07,59.779998779296875,59.939998626708984,58.2400016784668,59.900001525878906,2506900.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-08,59.619998931884766,60.52000045776367,59.36000061035156,60.150001525878906,1716400.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-09,59.36000061035156,59.88999938964844,58.189998626708984,58.36000061035156,1637800.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-12,58.400001525878906,59.150001525878906,58.06999969482422,58.380001068115234,1580700.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2018-11-13,58.88999938964844,60.04999923706055,58.630001068115234,58.849998474121094,1647300.0,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False
2018-11-14,59.20000076293945,60.25,58.869998931884766,59.68000030517578,1756200.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-15,59.18000030517578,60.79999923706055,58.779998779296875,60.560001373291016,1613500.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-16,60.130001068115234,61.15999984741211,60.0099983215332,60.77000045776367,1337900.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-19,60.47999954223633,61.41999816894531,60.150001525878906,60.4900016784668,1558600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-20,60.20000076293945,60.47999954223633,59.0,59.369998931884766,1970200.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True
2018-11-21,59.7599983215332,60.7599983215332,59.52000045776367,59.95000076293945,1394700.0,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-23,59.349998474121094,60.459999084472656,58.97999954223633,60.04999923706055,592100.0,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-26,60.47999954223633,61.34000015258789,60.40999984741211,60.68000030517578,1190800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-27,60.47999954223633,60.7599983215332,59.970001220703125,60.56999969482422,1638100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-28,60.709999084472656,62.08000183105469,60.040000915527344,62.0099983215332,2306500.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2018-11-29,61.70000076293945,62.060001373291016,61.130001068115234,61.310001373291016,1231200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-30,61.380001068115234,62.290000915527344,61.13999938964844,62.220001220703125,3435500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-03,63.11000061035156,63.40999984741211,61.040000915527344,61.11000061035156,3076400.0,False,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False
2018-12-04,60.83000183105469,61.0099983215332,58.90999984741211,59.31999969482422,4325500.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
2018-12-06,58.20000076293945,58.619998931884766,56.11000061035156,58.58000183105469,4669500.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True
2018-12-07,58.290000915527344,59.130001068115234,56.86000061035156,57.09000015258789,2224000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-10,57.099998474121094,57.70000076293945,55.9900016784668,57.56999969482422,3027000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-11,58.41999816894531,58.77000045776367,57.38999938964844,57.810001373291016,3484000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-12-12,58.70000076293945,59.91999816894531,58.369998931884766,58.40999984741211,2624800.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-13,56.880001068115234,57.470001220703125,56.66999816894531,57.310001373291016,2720200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-14,56.72999954223633,57.459999084472656,56.52000045776367,56.56999969482422,1882200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-17,56.52000045776367,57.54999923706055,55.63999938964844,56.09000015258789,2314400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-18,56.52000045776367,57.27000045776367,55.90999984741211,56.18000030517578,2078300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-19,56.369998931884766,57.13999938964844,54.61000061035156,54.880001068115234,2066300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-20,54.7599983215332,55.91999816894531,54.5099983215332,55.40999984741211,2700500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-21,55.790000915527344,56.90999984741211,54.720001220703125,54.900001525878906,3621300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-12-24,54.5099983215332,54.86000061035156,53.5099983215332,53.66999816894531,1063900.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-12-26,53.959999084472656,56.5099983215332,53.43000030517578,56.47999954223633,2346100.0,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-12-27,55.540000915527344,57.52000045776367,55.06999969482422,57.459999084472656,2399300.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True
2018-12-28,57.7599983215332,58.040000915527344,56.7599983215332,57.09000015258789,1634800.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2018-12-31,57.38999938964844,57.619998931884766,56.619998931884766,57.13999938964844,1699100.0,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False
2019-01-02,56.27000045776367,57.95000076293945,55.84000015258789,57.86000061035156,1803000.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-03,57.459999084472656,57.58000183105469,56.11000061035156,56.52000045776367,1974700.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2019-01-04,57.20000076293945,59.060001373291016,57.0,59.029998779296875,2569900.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
2019-01-07,58.7599983215332,59.72999954223633,57.81999969482422,58.959999084472656,3047700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True
2019-01-08,59.5,60.189998626708984,58.97999954223633,59.529998779296875,2966300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2019-01-09,59.810001373291016,60.15999984741211,58.310001373291016,58.630001068115234,3471500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2019-01-10,57.83000183105469,59.63999938964844,57.56999969482422,59.15999984741211,2821400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-11,59.04999923706055,59.709999084472656,58.43000030517578,59.439998626708984,1919200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-14,59.11000061035156,60.33000183105469,58.65999984741211,59.970001220703125,2212800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-15,60.0099983215332,60.189998626708984,59.279998779296875,59.56999969482422,1399300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-16,59.68000030517578,60.40999984741211,59.459999084472656,60.060001373291016,1522400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-17,59.810001373291016,61.869998931884766,59.65999984741211,61.34000015258789,2451100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True
2019-01-18,61.869998931884766,63.16999816894531,61.41999816894531,62.97999954223633,2244700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2019-01-22,62.38999938964844,62.58000183105469,61.439998626708984,62.04999923706055,2338800.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
