Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,56.83000183105469,59.70000076293945,56.810001373291016,57.709999084472656,24855700.0,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False
2018-10-10,57.66999816894531,57.869998931884766,55.939998626708984,56.0099983215332,14190500.0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-10-11,55.70000076293945,56.27000045776367,54.709999084472656,54.86000061035156,15316900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-12,55.709999084472656,56.779998779296875,55.279998779296875,56.45000076293945,13980500.0,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-10-15,56.369998931884766,57.189998626708984,56.310001373291016,56.75,10175100.0,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-10-16,56.939998626708984,58.0099983215332,56.77000045776367,57.810001373291016,11731400.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-17,57.900001525878906,59.400001525878906,57.779998779296875,59.099998474121094,14631000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True
2018-10-18,59.0,59.529998779296875,58.150001525878906,58.63999938964844,12184700.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-19,58.38999938964844,59.06999969482422,58.38999938964844,58.65999984741211,10180500.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-22,58.93000030517578,59.36000061035156,58.58000183105469,58.900001525878906,8680200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-23,58.36000061035156,59.29999923706055,58.209999084472656,58.810001373291016,12834200.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-24,58.56999969482422,59.279998779296875,57.95000076293945,58.060001373291016,12189700.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-10-25,58.290000915527344,59.470001220703125,57.70000076293945,58.959999084472656,9569600.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-26,58.040000915527344,58.36000061035156,57.38999938964844,58.06999969482422,13367600.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-10-29,58.68000030517578,59.68000030517578,57.70000076293945,58.369998931884766,14412800.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-10-30,58.43000030517578,58.869998931884766,57.689998626708984,58.59000015258789,14230100.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-31,58.97999954223633,59.119998931884766,58.209999084472656,58.27000045776367,11560400.0,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-01,58.29999923706055,59.06999969482422,58.06999969482422,58.630001068115234,18772400.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False
