Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,20.360000610351562,20.440000534057617,19.81999969482422,19.90999984741211,6108500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,19.979999542236328,20.18000030517578,19.8799991607666,19.899999618530273,7320600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-11,19.8700008392334,20.110000610351562,19.399999618530273,19.459999084472656,10047000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-10-12,19.770000457763672,19.790000915527344,19.209999084472656,19.59000015258789,8707100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,19.540000915527344,20.020000457763672,19.469999313354492,19.780000686645508,7616000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,20.239999771118164,20.700000762939453,19.81999969482422,20.65999984741211,11459700.0,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False
2018-10-17,20.559999465942383,20.700000762939453,20.280000686645508,20.56999969482422,4351800.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-18,20.479999542236328,20.75,19.940000534057617,19.969999313354492,7947800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,19.8700008392334,20.100000381469727,19.540000915527344,19.670000076293945,6400400.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,19.770000457763672,19.90999984741211,19.639999389648438,19.68000030517578,5929700.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,19.43000030517578,19.610000610351562,19.149999618530273,19.479999542236328,4343600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
