Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,68.7699966430664,69.3499984741211,68.23999786376953,68.45999908447266,3237200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,68.54000091552734,69.05000305175781,66.55000305175781,66.62999725341797,6295500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,66.75,67.70999908447266,66.01000213623047,66.20999908447266,5098300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-12,67.2699966430664,68.5999984741211,66.83999633789062,68.37999725341797,3870600,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2018-10-15,68.12000274658203,68.66000366210938,67.58000183105469,67.62000274658203,3014000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,67.68000030517578,69.12999725341797,67.55999755859375,68.94000244140625,2422300,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-10-17,68.95999908447266,69.66000366210938,68.58000183105469,69.08000183105469,2662700,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-10-18,69.2300033569336,69.69000244140625,68.33000183105469,68.7699966430664,2954400,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True
2018-10-19,69.52999877929688,70.13999938964844,69.20999908447266,69.75,4744300,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-10-22,69.8499984741211,70.20999908447266,69.41999816894531,69.51000213623047,2647300,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-23,69.08000183105469,69.7699966430664,67.79000091552734,69.27999877929688,3113000,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-10-24,69.05000305175781,69.37000274658203,65.58999633789062,65.70999908447266,5758800,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-25,66.33999633789062,67.0,65.0999984741211,66.31999969482422,6795200,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-26,64.55000305175781,65.55999755859375,64.27999877929688,65.11000061035156,7111300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-29,66.13999938964844,66.66000366210938,63.47999954223633,64.91000366210938,4654800,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-30,64.52999877929688,65.48999786376953,63.61000061035156,63.91999816894531,6077300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-31,67.37000274658203,69.5999984741211,67.25,68.55000305175781,9212400,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True
2018-11-01,68.95999908447266,69.5999984741211,68.61000061035156,68.87999725341797,4194700,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-02,69.38999938964844,69.44999694824219,67.55000305175781,68.51000213623047,2606400,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,68.95999908447266,69.66999816894531,68.56999969482422,68.88999938964844,2743100,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-06,68.8499984741211,69.27999877929688,68.2699966430664,68.7699966430664,3891400,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2018-11-07,69.23999786376953,70.77999877929688,69.05000305175781,70.33999633789062,3639600,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-08,70.06999969482422,70.75,69.5199966430664,69.75,2763700,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-09,69.41999816894531,69.69999694824219,67.9800033569336,68.68000030517578,2263600,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-12,68.69000244140625,69.16000366210938,67.77999877929688,67.88999938964844,2471500,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2018-11-13,68.54000091552734,69.41000366210938,68.26000213623047,68.41000366210938,4005100,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True
2018-11-14,68.66000366210938,69.22000122070312,67.55000305175781,68.12000274658203,3665500,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-15,67.86000061035156,68.36000061035156,67.55000305175781,68.08000183105469,2826800,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-16,67.2300033569336,69.69999694824219,67.0,69.13999938964844,5257200,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-11-19,68.52999877929688,69.5999984741211,67.91999816894531,68.0,3387500,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2018-11-20,67.73999786376953,67.77999877929688,66.20999908447266,66.56999969482422,5081100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-21,66.79000091552734,67.51000213623047,66.62999725341797,66.77999877929688,3274200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,66.38999938964844,67.45999908447266,66.08000183105469,67.06999969482422,1215200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-26,67.76000213623047,67.88999938964844,67.18000030517578,67.48999786376953,3285100,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-27,67.23999786376953,68.12000274658203,66.94000244140625,67.48999786376953,2393800,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-11-28,67.75,68.9800033569336,67.51000213623047,68.91999816894531,3272000,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-11-29,68.4000015258789,68.94000244140625,68.08000183105469,68.68000030517578,2814600,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-30,68.87999725341797,69.20999908447266,68.08000183105469,68.44999694824219,3470700,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-12-03,68.5,69.0199966430664,66.97000122070312,67.80000305175781,3641200,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2018-12-04,67.45999908447266,68.54000091552734,65.47000122070312,66.56999969482422,5329700,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2018-12-06,65.68000030517578,67.55000305175781,65.0199966430664,67.30000305175781,4899100,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-12-07,66.68000030517578,68.47000122070312,65.37000274658203,65.69000244140625,3340800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2018-12-10,65.66999816894531,65.95999908447266,64.33999633789062,65.7300033569336,3012500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-11,66.62000274658203,67.33999633789062,65.44000244140625,65.52999877929688,2475300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-12,66.7699966430664,67.08000183105469,66.05999755859375,66.0999984741211,3279600,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-13,66.20999908447266,66.8499984741211,65.47000122070312,66.36000061035156,3209600,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-14,65.83000183105469,66.69000244140625,65.38999938964844,65.6500015258789,2872700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-17,65.7300033569336,65.94000244140625,64.27999877929688,64.80999755859375,3999300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-18,64.80999755859375,65.62999725341797,63.95000076293945,64.77999877929688,4068400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-12-19,64.63999938964844,66.56999969482422,64.4800033569336,64.87000274658203,4204100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-20,64.62000274658203,65.30999755859375,63.40999984741211,64.26000213623047,5126900,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2018-12-21,64.58000183105469,65.37000274658203,61.70000076293945,61.93000030517578,7669100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-12-24,61.5099983215332,61.720001220703125,59.959999084472656,60.79999923706055,2581800,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-26,60.91999816894531,63.029998779296875,59.959999084472656,63.0099983215332,5088100,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,62.349998474121094,62.65999984741211,60.88999938964844,62.650001525878906,4353500,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-28,62.70000076293945,63.75,62.61000061035156,63.2400016784668,4098300,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-31,63.31999969482422,63.650001525878906,62.40999984741211,63.61000061035156,3112500,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2019-01-02,62.869998931884766,65.33000183105469,62.54999923706055,65.26000213623047,4418600,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-03,64.55000305175781,66.23999786376953,64.11000061035156,65.0199966430664,3390700,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-04,65.87999725341797,67.55999755859375,65.55000305175781,67.48999786376953,5490200,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False
2019-01-07,67.37000274658203,68.61000061035156,67.01000213623047,68.44000244140625,4786900,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2019-01-08,68.66999816894531,68.68000030517578,67.37000274658203,67.7699966430664,6052700,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False
2019-01-09,68.6500015258789,68.66999816894531,67.12000274658203,67.72000122070312,4498600,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-10,67.44000244140625,68.86000061035156,67.22000122070312,67.95999908447266,3230800,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-11,67.83000183105469,69.05999755859375,67.4000015258789,69.0,4177300,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-14,68.41000366210938,68.5199966430664,67.41999816894531,67.91000366210938,2691000,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-15,67.80999755859375,68.55999755859375,66.69999694824219,67.13999938964844,5366700,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2019-01-16,67.51000213623047,67.61000061035156,66.37999725341797,66.69000244140625,3261000,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False
2019-01-17,66.72000122070312,66.75,65.63999938964844,66.25,3357400,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
