Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,126.7300033569336,130.0,124.37999725341797,127.94999694824219,1602300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,129.99000549316406,130.25,121.0999984741211,122.25,2616700,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-11,122.33000183105469,124.91000366210938,120.80000305175781,122.26000213623047,2595100,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-10-12,126.7300033569336,130.89999389648438,125.86000061035156,129.0500030517578,2571800,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-15,128.27000427246094,129.42999267578125,124.4800033569336,127.77999877929688,1375600,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,129.27999877929688,132.36000061035156,129.25,132.02000427246094,1792300,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False
2018-10-17,132.75,133.66000366210938,130.39999389648438,132.05999755859375,1225300,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-18,131.17999267578125,131.17999267578125,124.8499984741211,126.87000274658203,2414500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,127.81999969482422,128.89999389648438,122.02999877929688,122.44999694824219,2095200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,122.69000244140625,123.05999755859375,120.0199966430664,120.51000213623047,2229800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-23,117.7699966430664,119.43000030517578,115.80000305175781,118.77999877929688,2289300,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2018-10-24,118.75,119.62999725341797,110.81999969482422,110.97000122070312,2730000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2018-10-25,116.83000183105469,124.9800033569336,116.30000305175781,120.69999694824219,3890900,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True
2018-10-26,116.18000030517578,123.45999908447266,116.18000030517578,120.05999755859375,2604300,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-29,122.3499984741211,122.83000183105469,109.33999633789062,111.72000122070312,4546200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018-10-30,121.52999877929688,125.48999786376953,117.5199966430664,124.01000213623047,7151000,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True
2018-10-31,125.5,130.00999450683594,124.13999938964844,128.8699951171875,3394500,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-01,129.66000366210938,129.9499969482422,125.93000030517578,128.91000366210938,1818000,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-02,128.8000030517578,130.16000366210938,126.66000366210938,128.3699951171875,1565600,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-05,128.61000061035156,128.99000549316406,124.55000305175781,126.69999694824219,1571300,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
