Date,open,high,low,close,volume,SP>SMA5,SP>SMA7,SP>SMA14,SMA5>SMA14,SP>EMA5,SP>EMA7,SP>EMA9,SP>EMA13,SP>EMA20,EMA9>EMA20,MACD>MACD_SIGNAL,RSI<30,RSI>70,SP>UBB,SP<LBB,SP>MBB,VOL>AVG_VOL10,INC_VOL
2018-10-09,142.57000732421875,144.02999877929688,141.83999633789062,142.58999633789062,473700.0,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-10,142.25999450683594,142.7100067138672,139.3300018310547,139.44000244140625,872800.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-11,139.3000030517578,139.41000366210938,135.35000610351562,136.07000732421875,1063000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-12,137.1699981689453,138.75999450683594,135.5500030517578,137.3000030517578,864100.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2018-10-15,136.83999633789062,139.07000732421875,136.32000732421875,137.97999572753906,680200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-16,138.60000610351562,140.13999938964844,137.89999389648438,140.07000732421875,635700.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-17,139.94000244140625,140.92999267578125,134.5,139.8300018310547,510400.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-18,139.6699981689453,140.57000732421875,137.88999938964844,138.72999572753906,704200.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-19,138.0800018310547,140.36000061035156,138.0800018310547,139.97999572753906,424900.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-22,140.4499969482422,141.60000610351562,139.52999877929688,139.89999389648438,436100.0,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
2018-10-23,138.35000610351562,139.5,136.6199951171875,137.85000610351562,601200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-24,137.50999450683594,138.85000610351562,134.6300048828125,134.83999633789062,1205300.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-10-25,135.47000122070312,138.9199981689453,135.1199951171875,138.11000061035156,732800.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-26,136.75,140.44000244140625,136.35000610351562,139.00999450683594,1305100.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False
2018-10-29,140.39999389648438,142.86000061035156,139.1300048828125,140.36000061035156,982700.0,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False
2018-10-30,140.77000427246094,141.2899932861328,138.44000244140625,141.17999267578125,749700.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-10-31,142.17999267578125,144.86000061035156,141.52000427246094,143.16000366210938,839800.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2018-11-01,143.1699981689453,144.7899932861328,141.88999938964844,143.10000610351562,781300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2018-11-02,148.35000610351562,152.4199981689453,146.7899932861328,152.38999938964844,1388600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
2018-11-05,153.02999877929688,155.4499969482422,151.8300018310547,154.44000244140625,890100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-06,154.69000244140625,155.49000549316406,153.52000427246094,154.6999969482422,819400.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-07,155.5500030517578,158.5500030517578,153.57000732421875,158.3000030517578,778600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-08,157.50999450683594,160.83999633789062,157.50999450683594,160.35000610351562,774600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2018-11-09,159.1300048828125,160.52000427246094,158.33999633789062,159.92999267578125,643100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-12,159.4600067138672,159.92999267578125,157.9199981689453,158.50999450683594,804100.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-13,158.33999633789062,160.69000244140625,158.33999633789062,159.97000122070312,1035500.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True
2018-11-14,160.61000061035156,160.82000732421875,158.42999267578125,159.7899932861328,1082400.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True
2018-11-15,158.8800048828125,161.1699981689453,157.8300018310547,160.47999572753906,927200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-16,159.08999633789062,159.6300048828125,155.42999267578125,158.86000061035156,1233000.0,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,False
2018-11-19,158.5,161.08999633789062,158.44000244140625,160.25999450683594,837700.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2018-11-20,159.5,159.64999389648438,156.3000030517578,156.35000610351562,684300.0,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False
2018-11-21,156.72000122070312,159.07000732421875,155.52000427246094,156.72999572753906,560300.0,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False
2018-11-23,156.1199951171875,157.4499969482422,155.74000549316406,155.97999572753906,345600.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
2018-11-26,157.52999877929688,157.55999755859375,156.33999633789062,157.3300018310547,629700.0,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,True,False,False
2018-11-27,157.2899932861328,158.17999267578125,156.14999389648438,157.02999877929688,703800.0,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True
2018-11-28,157.1199951171875,160.33999633789062,156.5399932861328,159.49000549316406,1504400.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True
2018-11-29,158.75,159.7100067138672,158.02999877929688,158.49000549316406,816500.0,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-11-30,158.66000366210938,160.17999267578125,158.66000366210938,159.4499969482422,1149400.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False
2018-12-03,160.44000244140625,161.44000244140625,159.5500030517578,161.13999938964844,749300.0,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False
2018-12-04,161.05999755859375,161.97000122070312,156.69000244140625,157.30999755859375,729300.0,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2018-12-06,155.50999450683594,156.55999755859375,153.4499969482422,156.10000610351562,990600.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-07,156.24000549316406,157.6300048828125,155.4600067138672,156.5,966900.0,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
2018-12-10,155.85000610351562,156.83999633789062,153.4600067138672,154.61000061035156,752100.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-11,156.33999633789062,156.83999633789062,153.6199951171875,154.89999389648438,523200.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-12,156.72000122070312,157.32000732421875,155.6999969482422,155.75999450683594,470100.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-13,155.9600067138672,157.0500030517578,155.14999389648438,156.4499969482422,592600.0,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
2018-12-14,155.6300048828125,156.8699951171875,153.5,153.75999450683594,492900.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018-12-17,153.88999938964844,154.91000366210938,150.58999633789062,151.27999877929688,837400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2018-12-18,152.2100067138672,153.27999877929688,150.7100067138672,151.92999267578125,573400.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-19,156.2100067138672,156.2100067138672,149.19000244140625,151.3300018310547,732600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-20,151.6300048828125,151.64999389648438,148.57000732421875,149.33999633789062,772200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2018-12-21,148.97999572753906,150.5399932861328,146.6699981689453,147.07000732421875,6260200.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
2018-12-24,147.19000244140625,148.3699951171875,145.19000244140625,146.61000061035156,1793400.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2018-12-26,147.1999969482422,149.24000549316406,144.1300048828125,148.86000061035156,943000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-27,147.22000122070312,150.94000244140625,145.42999267578125,150.85000610351562,703500.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-12-28,150.7100067138672,152.6199951171875,149.4199981689453,150.92999267578125,434900.0,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2018-12-31,151.39999389648438,152.14999389648438,150.2100067138672,151.86000061035156,564100.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2019-01-02,149.75,150.75,148.77000427246094,149.67999267578125,743800.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019-01-03,149.02999877929688,149.80999755859375,146.35000610351562,146.5399932861328,689800.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-01-04,148.5800018310547,151.08999633789062,147.52000427246094,150.5,842100.0,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2019-01-07,150.14999389648438,153.6199951171875,146.4499969482422,151.61000061035156,879200.0,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True
2019-01-08,153.42999267578125,153.8800048828125,150.25,152.5800018310547,885300.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-09,152.82000732421875,154.1999969482422,151.27000427246094,151.66000366210938,714700.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-10,151.27999877929688,153.47000122070312,151.1300048828125,153.35000610351562,549600.0,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False
2019-01-11,152.6300048828125,154.05999755859375,150.6999969482422,153.99000549316406,560300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-14,153.4199981689453,154.38999938964844,152.74000549316406,153.57000732421875,791000.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
2019-01-15,153.16000366210938,154.77999877929688,153.16000366210938,154.6300048828125,598300.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-16,154.99000549316406,157.27999877929688,153.2100067138672,156.9199981689453,634200.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2019-01-17,156.5,157.8699951171875,156.16000366210938,156.9600067138672,455300.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-18,158.3699951171875,159.2100067138672,154.00999450683594,158.66000366210938,551800.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False
2019-01-22,158.25999450683594,159.8000030517578,157.63999938964844,158.72999572753906,860000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True
2019-01-23,158.80999755859375,159.6199951171875,157.4199981689453,158.17999267578125,873400.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True
2019-01-24,157.7100067138672,158.80999755859375,156.74000549316406,157.7899932861328,491500.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-25,159.1199951171875,160.3000030517578,158.4600067138672,158.69000244140625,554600.0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False
2019-01-28,157.9199981689453,158.9199981689453,156.89999389648438,158.25,434400.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
2019-01-29,158.19000244140625,158.9499969482422,157.6199951171875,158.8699951171875,433200.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
